t,innovation,mse,firing_rate
0.000000,1.814190e-03,1.181137e-06,0.000000e+00
0.001000,4.000049e-04,7.773013e-06,0.000000e+00
0.002000,4.538792e-07,2.903067e-06,0.000000e+00
0.003000,5.053237e-05,1.035907e-05,0.000000e+00
0.004000,1.896912e-02,1.351680e-05,0.000000e+00
0.005000,4.262671e-03,2.662190e-05,0.000000e+00
0.006000,3.131737e-06,2.446239e-05,0.000000e+00
0.007000,4.895846e-03,5.004091e-05,0.000000e+00
0.008000,1.316633e-04,5.753505e-05,0.000000e+00
0.009000,2.022170e-05,1.508515e-04,0.000000e+00
