t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.000000,1.814190e-03,1.181137e-06,0.000000e+00,1.814190e-03,1.716650e-03
0.001000,4.000049e-04,7.773013e-06,0.000000e+00,5.056655e-04,1.177781e-03
0.002000,4.538792e-07,2.903067e-06,0.000000e+00,1.018823e-03,8.118028e-04
0.003000,5.053237e-05,1.035907e-05,0.000000e+00,1.811212e-04,1.139683e-03
0.004000,1.896912e-02,1.351680e-05,0.000000e+00,2.398893e-02,2.335799e-02
0.005000,4.262671e-03,2.662190e-05,0.000000e+00,6.348142e-03,5.551661e-03
0.006000,3.131737e-06,2.446239e-05,0.000000e+00,8.203691e-07,5.717808e-03
0.007000,4.895846e-03,5.004091e-05,0.000000e+00,4.747418e-03,2.970975e-02
0.008000,1.316633e-04,5.753505e-05,0.000000e+00,4.750956e-04,1.932208e-02
0.009000,2.022170e-05,1.508515e-04,0.000000e+00,1.119897e-05,1.901738e-02
0.010000,1.225298e-03,1.993871e-04,0.000000e+00,1.815031e-03,3.451225e-03
0.011000,5.411240e-03,2.483586e-04,0.000000e+00,5.898014e-03,9.542012e-03
0.012000,2.381216e-03,2.097586e-04,0.000000e+00,1.971231e-03,3.879758e-02
0.013000,2.276587e-04,2.225810e-04,0.000000e+00,5.693614e-04,1.974788e-02
0.014000,3.384683e-03,1.889600e-04,0.000000e+00,4.217999e-03,3.630073e-04
0.015000,3.595005e-02,1.627656e-04,0.000000e+00,3.555594e-02,2.214895e-01
0.016000,6.310907e-05,1.631584e-04,0.000000e+00,9.691528e-05,1.972120e-01
0.017000,3.611609e-04,1.631471e-04,0.000000e+00,1.325950e-03,1.174678e-01
0.018000,3.535051e-03,1.838117e-04,0.000000e+00,5.500305e-03,1.683759e-02
0.019000,2.548316e-05,1.530540e-04,0.000000e+00,1.882968e-04,8.312437e-03
0.020000,2.608729e-03,1.754455e-04,0.000000e+00,1.886658e-03,4.837901e-02
0.021000,1.015105e-03,1.526898e-04,0.000000e+00,4.162214e-04,7.954680e-02
0.022000,1.771900e-03,1.589563e-04,0.000000e+00,3.083419e-03,1.291258e-02
0.023000,6.134487e-04,1.468123e-04,0.000000e+00,2.490807e-04,2.641103e-02
0.024000,7.800171e-05,1.555985e-04,0.000000e+00,3.721074e-04,1.061715e-02
0.025000,3.906568e-04,1.681218e-04,0.000000e+00,1.162354e-04,1.875288e-02
0.026000,6.900069e-05,1.702586e-04,0.000000e+00,3.358102e-04,6.513769e-03
0.027000,8.948218e-03,1.634413e-04,0.000000e+00,7.394950e-03,1.170140e-01
0.028000,3.852995e-03,1.909787e-04,0.000000e+00,6.099491e-03,1.189358e-02
0.029000,6.706405e-03,1.882515e-04,0.000000e+00,5.208106e-03,1.035358e-01
0.030000,5.413898e-03,1.955130e-04,0.000000e+00,8.020403e-03,3.715106e-03
0.031000,8.347507e-03,2.230092e-04,0.000000e+00,1.001583e-02,5.227550e-02
0.032000,3.985547e-03,2.689371e-04,0.000000e+00,4.026749e-03,1.672591e-01
0.033000,5.672999e-08,2.857459e-04,0.000000e+00,2.496480e-05,1.566127e-01
0.034000,6.105615e-03,2.205471e-04,0.000000e+00,6.947297e-03,2.820707e-02
0.035000,6.345366e-04,1.391695e-04,0.000000e+00,5.679908e-04,1.060750e-02
0.036000,1.864500e-06,1.901691e-04,0.000000e+00,3.284972e-06,1.194359e-02
0.037000,1.023499e-03,2.362554e-04,0.000000e+00,1.219947e-03,3.974068e-02
0.038000,8.240063e-04,2.432207e-04,0.000000e+00,8.227048e-04,7.355593e-02
0.039000,1.297644e-03,2.627452e-04,0.000000e+00,1.487236e-03,3.216069e-02
0.040000,4.833040e-05,2.145676e-04,0.000000e+00,5.279329e-05,3.816611e-02
0.041000,5.854676e-03,2.529644e-04,0.000000e+00,5.921021e-03,3.869552e-04
0.042000,1.913981e-03,2.559314e-04,0.000000e+00,1.462903e-03,4.484177e-03
0.043000,1.278209e-03,3.129275e-04,0.000000e+00,7.420419e-04,1.566616e-02
0.044000,1.116108e-03,3.112285e-04,0.000000e+00,1.947503e-03,9.783844e-04
0.045000,1.307842e-03,3.325651e-04,0.000000e+00,8.247005e-04,8.243492e-03
0.046000,5.390287e-03,3.168237e-04,0.000000e+00,6.908452e-03,6.061554e-03
0.047000,2.005496e-04,3.231190e-04,0.000000e+00,3.113691e-04,1.260701e-02
0.048000,6.488324e-03,3.040648e-04,0.000000e+00,6.155498e-03,1.595923e-03
0.049000,1.656598e-03,3.264870e-04,0.000000e+00,2.357688e-03,2.842984e-03
0.050000,6.926195e-04,2.890561e-04,0.000000e+00,4.839589e-04,1.283695e-04
0.051000,2.322543e-03,2.831834e-04,0.000000e+00,2.925407e-03,1.158702e-02
0.052000,2.058497e-03,4.568880e-04,0.000000e+00,1.883317e-03,1.367049e-03
0.053000,9.855665e-04,4.814097e-04,0.000000e+00,1.324552e-03,9.853574e-03
0.054000,6.399195e-03,4.711841e-04,0.000000e+00,6.022119e-03,8.195905e-04
0.055000,3.350617e-04,3.830103e-04,0.000000e+00,1.106238e-04,2.250291e-03
0.056000,3.236120e-03,3.933990e-04,0.000000e+00,2.334412e-03,1.509567e-02
0.057000,2.224998e-03,3.287874e-04,0.000000e+00,1.238269e-03,3.179319e-02
0.058000,2.549334e-03,3.897802e-04,0.000000e+00,4.228379e-03,6.483199e-03
0.059000,3.322114e-03,4.047310e-04,0.000000e+00,4.617613e-03,4.705419e-04
0.060000,3.858257e-06,3.128226e-04,0.000000e+00,1.504122e-05,5.696574e-04
0.061000,2.845113e-03,2.710543e-04,0.000000e+00,3.472025e-03,1.065657e-02
0.062000,3.089319e-03,1.792415e-04,0.000000e+00,3.279714e-03,3.146289e-02
0.063000,7.899001e-05,2.129694e-04,0.000000e+00,4.542273e-05,3.501309e-02
0.064000,3.809994e-04,2.207712e-04,0.000000e+00,2.812316e-04,4.356855e-02
0.065000,2.739319e-10,1.909840e-04,0.000000e+00,1.587075e-05,4.096210e-02
0.066000,1.604447e-03,2.208973e-04,0.000000e+00,1.935699e-03,2.240910e-02
0.067000,2.090130e-03,2.447540e-04,0.000000e+00,1.968411e-03,4.123007e-02
0.068000,2.318369e-03,3.196693e-04,0.000000e+00,2.747318e-03,2.092628e-02
0.069000,5.154114e-04,2.825947e-04,0.000000e+00,4.623998e-04,2.810001e-02
0.070000,1.014308e-04,2.750987e-04,0.000000e+00,1.618477e-04,2.358132e-02
0.071000,1.493119e-03,4.114854e-04,0.000000e+00,1.653767e-03,1.276795e-02
0.072000,1.433323e-04,3.194999e-04,0.000000e+00,1.506052e-04,1.530609e-02
0.073000,4.227436e-05,3.637196e-04,0.000000e+00,4.945359e-05,1.370367e-02
