t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.056031e-03,1.562500e+01,1.000000e+00,3.799719e-03,2.976885e-03,3.022917e-03
0.001000,5.466256e-04,1.472324e-01,1.562500e+01,1.413768e+00,1.628229e-03,2.475984e-03,1.021829e-03
0.002000,9.530720e-04,8.301384e-04,1.562500e+01,1.730961e+00,2.149975e-03,1.198245e-03,9.503804e-04
0.003000,2.677871e-03,1.388363e-01,1.562500e+01,1.998113e+00,3.603838e-03,3.169436e-03,1.221255e-03
0.004000,1.247572e-03,4.254427e-04,1.562500e+01,2.233255e+00,2.459820e-03,2.736926e-03,1.561279e-03
0.005000,1.154344e-03,1.079493e-01,1.562500e+01,2.445639e+00,2.366127e-03,9.251451e-04,8.074620e-04
0.006000,1.926023e-03,3.622309e-03,1.562500e+01,2.640762e+00,3.056337e-03,4.701103e-04,1.605766e-03
0.007000,1.092456e-05,6.767874e-03,1.562500e+01,2.822205e+00,2.301826e-04,2.284252e-03,2.452793e-03
0.008000,5.569395e-05,8.144722e-03,1.562500e+01,2.992460e+00,5.197261e-04,3.092808e-04,5.622203e-03
0.009000,5.374668e-03,7.298173e-02,1.562500e+01,3.153339e+00,5.105594e-03,3.141431e-03,2.752339e-02
0.010000,8.793452e-04,1.030266e-02,1.562500e+01,3.306211e+00,2.065143e-03,1.285069e-05,2.424777e-02
0.011000,1.402458e-03,7.582628e-02,1.562500e+01,3.452140e+00,2.608047e-03,1.563321e-04,3.195031e-02
0.012000,7.263510e-03,7.132981e-03,1.562500e+01,3.591973e+00,5.935315e-03,3.052734e-03,8.993742e-02
0.013000,2.441851e-02,2.945316e-02,1.562500e+01,3.726396e+00,1.088253e-02,1.188579e-02,3.111180e-01
0.014000,2.599396e-05,2.420494e-03,1.562500e+01,3.855976e+00,3.550640e-04,1.661813e-03,2.093203e-01
0.015000,4.368055e-04,5.824452e-02,1.562500e+01,3.981185e+00,1.455508e-03,9.383290e-04,1.428650e-01
0.016000,2.135925e-03,1.000878e-02,1.562500e+01,4.102424e+00,3.218574e-03,4.431747e-04,1.878158e-01
0.017000,1.177001e-02,2.158916e-02,1.562500e+01,4.220035e+00,7.555425e-03,4.671396e-03,3.875277e-01
0.018000,1.161069e-02,1.219119e-02,1.562500e+01,4.334314e+00,7.504114e-03,1.522499e-03,5.404583e-01
0.019000,9.663546e-03,8.777981e-03,1.562500e+01,4.445518e+00,6.846029e-03,2.224175e-03,7.617115e-01
0.020000,4.002261e-04,5.925100e-03,1.562500e+01,4.553873e+00,1.393231e-03,3.694914e-03,4.819628e-01
0.021000,1.704551e-04,4.377098e-02,1.562500e+01,4.659577e+00,9.092337e-04,1.391425e-03,3.399628e-01
0.022000,1.102966e-03,2.605213e-02,1.562500e+01,4.762806e+00,2.312872e-03,3.872553e-03,1.559252e-01
0.023000,5.333833e-05,4.310027e-02,1.562500e+01,5.062435e+00,5.086162e-04,9.425393e-04,8.988947e-02
0.024000,1.658143e-03,1.017504e-03,1.562500e+01,5.157130e+00,2.835839e-03,4.745716e-04,1.349793e-01
0.025000,3.833556e-03,1.132536e-01,1.562500e+01,5.250001e+00,4.311927e-03,3.791097e-03,3.126992e-02
0.026000,6.001082e-04,9.970984e-04,1.562500e+01,5.341144e+00,1.706025e-03,3.745768e-04,1.376080e-02
0.027000,9.187064e-03,1.090627e-01,1.562500e+01,5.609092e+00,6.675116e-03,1.145045e-02,1.957823e-01
0.028000,5.717893e-03,5.187061e-03,1.562500e+01,5.694059e+00,5.266092e-03,4.403333e-03,5.892259e-02
0.029000,8.523928e-04,6.324172e-03,1.562500e+01,5.777672e+00,2.033248e-03,2.162546e-05,6.607769e-02
0.030000,6.581710e-03,4.777741e-03,1.562500e+01,6.025118e+00,5.649888e-03,3.961082e-04,3.894513e-02
0.031000,1.054076e-03,2.100405e-02,1.562500e+01,6.103798e+00,2.261030e-03,4.415130e-06,4.189708e-02
0.032000,1.017087e-03,2.499737e-02,1.562500e+01,6.181380e+00,2.221005e-03,1.815560e-03,1.047439e-01
0.033000,4.385367e-03,1.262945e-03,1.562500e+01,6.257904e+00,4.611832e-03,3.252051e-03,2.341185e-01
0.034000,1.698319e-02,6.995498e-03,1.562500e+01,6.333409e+00,9.075701e-03,8.071115e-03,5.301321e-01
0.035000,1.254281e-04,6.408402e-03,1.562500e+01,6.559562e+00,7.799520e-04,1.017444e-03,4.162276e-01
0.036000,1.466005e-02,6.224981e-02,1.562500e+01,6.777538e+00,8.432147e-03,5.940991e-03,7.175263e-01
0.037000,1.285724e-03,1.387933e-02,1.562500e+01,6.846693e+00,2.497149e-03,2.816864e-06,7.078995e-01
0.038000,5.047354e-03,4.401492e-02,1.562500e+01,6.915070e+00,4.947689e-03,1.099199e-02,3.355250e-01
0.039000,1.148006e-03,4.552391e-04,1.562500e+01,6.982693e+00,2.359623e-03,2.222208e-03,2.161750e-01
0.040000,3.213742e-03,3.342647e-03,1.562500e+01,7.187176e+00,3.947989e-03,5.236114e-04,2.677155e-01
0.041000,1.289065e-02,7.593095e-04,1.562500e+01,7.387518e+00,7.906930e-03,2.443673e-03,3.966045e-01
0.042000,2.360841e-03,5.034173e-02,1.562500e+01,7.450283e+00,3.383793e-03,6.577209e-05,4.197782e-01
0.043000,4.249544e-03,2.075738e-02,1.562500e+01,7.512446e+00,4.539851e-03,9.236597e-10,4.191027e-01
0.044000,4.329354e-04,5.444854e-02,1.562500e+01,7.574022e+00,1.449045e-03,1.454312e-03,3.202869e-01
0.045000,8.841978e-03,5.553441e-04,1.562500e+01,7.635025e+00,6.548551e-03,1.518956e-03,4.207534e-01
0.046000,2.529632e-03,3.796938e-02,1.562500e+01,7.695468e+00,3.502670e-03,7.780869e-03,2.192825e-01
0.047000,8.445598e-03,3.476036e-03,1.562500e+01,7.881981e+00,6.400084e-03,1.368117e-03,2.951380e-01
0.048000,3.832559e-04,4.356169e-02,1.562500e+01,7.940241e+00,1.363374e-03,3.846493e-03,1.790377e-01
