t,innovation,mse,firing_rate
0.000000,6.447157e-03,6.100468e-06,0.000000e+00
0.001000,6.515348e-04,1.657482e-05,0.000000e+00
0.002000,9.593277e-03,1.850362e-05,0.000000e+00
0.003000,1.284616e-05,1.173493e-05,0.000000e+00
0.004000,3.467227e-04,1.180879e-05,0.000000e+00
0.005000,1.900488e-04,3.271089e-05,0.000000e+00
0.006000,3.217222e-04,4.604967e-05,0.000000e+00
0.007000,9.271745e-03,6.333332e-05,0.000000e+00
0.008000,1.740218e-03,5.585021e-05,0.000000e+00
0.009000,6.633561e-04,2.534293e-05,0.000000e+00
0.010000,7.924162e-04,4.021441e-05,0.000000e+00
0.011000,8.028099e-04,1.918018e-05,0.000000e+00
0.012000,5.532584e-05,7.131697e-06,0.000000e+00
0.013000,9.182127e-04,7.276464e-06,0.000000e+00
0.014000,4.199821e-03,3.704022e-06,0.000000e+00
0.015000,9.528772e-04,1.402143e-05,0.000000e+00
0.016000,3.908890e-03,2.523422e-05,0.000000e+00
0.017000,3.503435e-05,7.035426e-06,0.000000e+00
0.018000,2.969669e-03,3.411074e-06,0.000000e+00
0.019000,2.925649e-05,8.094426e-07,0.000000e+00
0.020000,6.037965e-06,1.449058e-06,0.000000e+00
0.021000,1.615739e-03,4.902096e-06,0.000000e+00
0.022000,3.247003e-03,1.357012e-05,0.000000e+00
0.023000,1.281970e-02,1.478188e-05,0.000000e+00
0.024000,1.341705e-03,5.979122e-06,0.000000e+00
0.025000,3.820029e-03,8.058801e-06,0.000000e+00
0.026000,8.951527e-03,4.650806e-05,0.000000e+00
0.027000,5.909366e-03,3.879525e-05,0.000000e+00
0.028000,1.506123e-03,2.331459e-05,0.000000e+00
0.029000,4.143775e-04,4.718793e-05,0.000000e+00
0.030000,4.843656e-04,5.361624e-05,0.000000e+00
0.031000,6.124141e-03,5.356304e-05,0.000000e+00
0.032000,1.356308e-03,3.982857e-05,0.000000e+00
0.033000,8.375746e-04,8.337575e-05,0.000000e+00
0.034000,8.476635e-04,7.771537e-05,0.000000e+00
0.035000,1.252023e-04,6.035178e-05,0.000000e+00
0.036000,2.362828e-04,5.814032e-05,0.000000e+00
0.037000,3.952461e-03,7.021510e-05,0.000000e+00
0.038000,1.299719e-03,8.393600e-05,0.000000e+00
0.039000,3.334483e-04,8.786356e-05,0.000000e+00
0.040000,2.485701e-04,1.159254e-04,0.000000e+00
0.041000,2.348705e-04,1.600117e-04,0.000000e+00
0.042000,3.232331e-05,2.430939e-04,0.000000e+00
0.043000,7.029437e-03,3.349645e-04,0.000000e+00
0.044000,4.287092e-04,2.807589e-04,0.000000e+00
0.045000,7.894307e-03,3.034837e-04,0.000000e+00
0.046000,1.182885e-03,3.500487e-04,0.000000e+00
0.047000,1.289677e-03,2.509303e-04,0.000000e+00
0.048000,9.398352e-04,3.184994e-04,0.000000e+00
0.049000,1.133139e-04,4.083204e-04,0.000000e+00
