t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.127635e-04,1.562500e+01,1.000000e+00,1.336791e-04,2.976885e-03,3.022917e-03
0.001000,2.837369e-05,1.990160e-04,1.562500e+01,1.413507e+00,1.305090e-05,2.475984e-03,1.021829e-03
0.002000,2.032650e-04,4.665675e-04,1.562500e+01,1.730320e+00,3.493122e-05,1.198245e-03,9.503804e-04
0.003000,4.583304e-03,8.073343e-04,1.562500e+01,1.997003e+00,1.658715e-04,3.169436e-03,1.221255e-03
0.004000,4.813893e-04,3.562270e-04,1.562500e+01,2.231603e+00,5.375647e-05,2.736926e-03,1.561279e-03
0.005000,2.634246e-03,7.905557e-04,1.562500e+01,2.443378e+00,1.257508e-04,9.251451e-04,8.074620e-04
0.006000,1.966384e-03,1.259887e-03,1.562500e+01,2.637833e+00,1.086467e-04,4.701103e-04,1.605766e-03
0.007000,1.015732e-03,1.133664e-03,0.000000e+00,2.635195e+00,7.808582e-05,2.284252e-03,2.452793e-03
0.008000,6.391513e-05,1.250947e-03,0.000000e+00,2.632560e+00,1.958774e-05,3.092808e-04,5.622203e-03
0.009000,2.363650e-03,1.090641e-03,0.000000e+00,2.629927e+00,1.191171e-04,3.141431e-03,2.752339e-02
0.010000,2.181236e-05,8.408125e-04,0.000000e+00,2.627297e+00,1.144284e-05,1.285069e-05,2.424777e-02
0.011000,1.252545e-04,6.891748e-04,0.000000e+00,2.624670e+00,2.742074e-05,1.563321e-04,3.195031e-02
0.012000,3.061996e-03,6.567820e-04,0.000000e+00,2.622045e+00,1.355766e-04,3.052734e-03,8.993742e-02
0.013000,1.312816e-02,7.993024e-04,0.000000e+00,2.619423e+00,2.807271e-04,1.188579e-02,3.111180e-01
0.014000,6.146084e-04,8.730191e-04,0.000000e+00,2.616804e+00,6.074098e-05,1.661813e-03,2.093203e-01
0.015000,3.168889e-04,8.146289e-04,0.000000e+00,2.614187e+00,4.361502e-05,9.383290e-04,1.428650e-01
0.016000,9.990993e-04,7.179297e-04,0.000000e+00,2.611573e+00,7.744383e-05,4.431747e-04,1.878158e-01
0.017000,6.579906e-03,6.475941e-04,0.000000e+00,2.608961e+00,1.987432e-04,4.671396e-03,3.875277e-01
0.018000,3.380352e-03,6.479883e-04,0.000000e+00,2.606352e+00,1.424503e-04,1.522499e-03,5.404583e-01
0.019000,4.936347e-03,6.564623e-04,0.000000e+00,2.603746e+00,1.721414e-04,2.224175e-03,7.617115e-01
0.020000,1.083457e-03,7.271657e-04,0.000000e+00,2.601142e+00,8.064701e-05,3.694914e-03,4.819628e-01
0.021000,1.895580e-04,7.937532e-04,0.000000e+00,2.598541e+00,3.373289e-05,1.391425e-03,3.399628e-01
0.022000,1.697410e-03,8.139611e-04,0.000000e+00,2.595942e+00,1.009429e-04,3.872553e-03,1.559252e-01
0.023000,2.077662e-04,7.566337e-04,0.000000e+00,2.593346e+00,3.531587e-05,9.425393e-04,8.988947e-02
0.024000,1.283917e-03,7.969449e-04,0.000000e+00,2.590753e+00,8.779118e-05,4.745716e-04,1.349793e-01
0.025000,2.058958e-03,6.698846e-04,0.000000e+00,2.588162e+00,1.111748e-04,3.791097e-03,3.126992e-02
0.026000,6.497356e-05,6.460834e-04,0.000000e+00,2.585574e+00,1.974926e-05,3.745768e-04,1.376080e-02
0.027000,1.364581e-02,7.752284e-04,0.000000e+00,2.582989e+00,2.862082e-04,1.145045e-02,1.957823e-01
0.028000,2.238629e-03,6.596239e-04,0.000000e+00,2.580406e+00,1.159241e-04,4.403333e-03,5.892259e-02
0.029000,3.412561e-04,7.228633e-04,0.000000e+00,2.577825e+00,4.526085e-05,2.162546e-05,6.607769e-02
0.030000,2.971737e-05,6.400684e-04,0.000000e+00,2.575247e+00,1.335635e-05,3.961082e-04,3.894513e-02
0.031000,2.283587e-04,6.176883e-04,0.000000e+00,2.572672e+00,3.702468e-05,4.415130e-06,4.189708e-02
0.032000,3.134443e-03,5.512666e-04,0.000000e+00,2.570099e+00,1.371711e-04,1.815560e-03,1.047439e-01
0.033000,5.503539e-03,6.607853e-04,0.000000e+00,2.567529e+00,1.817622e-04,3.252051e-03,2.341185e-01
0.034000,1.256498e-02,7.032223e-04,0.000000e+00,2.564962e+00,2.746397e-04,8.071115e-03,5.301321e-01
0.035000,2.813717e-06,7.900264e-04,0.000000e+00,2.562397e+00,4.109819e-06,1.017444e-03,4.162276e-01
0.036000,1.110255e-02,8.954442e-04,0.000000e+00,2.559834e+00,2.581629e-04,5.940991e-03,7.175263e-01
0.037000,1.128852e-03,7.887230e-04,0.000000e+00,2.557275e+00,8.231916e-05,2.816864e-06,7.078995e-01
0.038000,4.743256e-03,6.935446e-04,0.000000e+00,2.554717e+00,1.687411e-04,1.099199e-02,3.355250e-01
0.039000,3.559988e-04,7.279110e-04,0.000000e+00,2.552163e+00,4.622818e-05,2.222208e-03,2.161750e-01
0.040000,2.296014e-03,6.639861e-04,0.000000e+00,2.549610e+00,1.174005e-04,5.236114e-04,2.677155e-01
0.041000,5.891189e-03,6.529626e-04,0.000000e+00,2.547061e+00,1.880546e-04,2.443673e-03,3.966045e-01
0.042000,1.589320e-03,6.233597e-04,0.000000e+00,2.544514e+00,9.767609e-05,6.577209e-05,4.197782e-01
0.043000,1.088111e-03,6.005154e-04,0.000000e+00,2.541969e+00,8.082004e-05,9.236597e-10,4.191027e-01
0.044000,2.008052e-05,6.390036e-04,0.000000e+00,2.539427e+00,1.097918e-05,1.454312e-03,3.202869e-01
0.045000,4.944092e-03,6.683565e-04,0.000000e+00,2.536888e+00,1.722764e-04,1.518956e-03,4.207534e-01
0.046000,2.842918e-03,6.079925e-04,0.000000e+00,2.534351e+00,1.306365e-04,7.780869e-03,2.192825e-01
0.047000,4.330745e-03,6.203054e-04,0.000000e+00,2.531817e+00,1.612367e-04,1.368117e-03,2.951380e-01
0.048000,8.971182e-04,6.259724e-04,0.000000e+00,2.529285e+00,7.338501e-05,3.846493e-03,1.790377e-01
0.049000,5.340138e-05,6.421164e-04,0.000000e+00,2.526755e+00,1.790436e-05,1.244601e-03,1.277102e-01
0.050000,1.250343e-05,6.427653e-04,0.000000e+00,2.524229e+00,8.663573e-06,8.592022e-04,9.321097e-02
0.051000,6.146718e-03,6.630955e-04,0.000000e+00,2.521705e+00,1.920897e-04,2.962023e-03,1.615744e-01
0.052000,3.506153e-02,6.712022e-04,0.000000e+00,2.519183e+00,4.587731e-04,4.642627e-02,8.061910e-04
0.053000,9.338081e-03,6.395029e-04,0.000000e+00,2.516664e+00,2.367616e-04,6.973900e-03,2.842555e-02
0.054000,7.623120e-04,8.932661e-04,1.562500e+01,2.705723e+00,6.764705e-05,2.180589e-03,8.373954e-03
0.055000,3.717684e-04,9.639659e-04,0.000000e+00,2.703017e+00,4.724097e-05,7.510403e-04,2.394775e-03
0.056000,1.553807e-03,9.575292e-04,0.000000e+00,2.700314e+00,9.657862e-05,2.090062e-03,5.568838e-04
0.057000,1.120995e-03,9.343980e-04,0.000000e+00,2.697614e+00,8.203219e-05,1.344103e-03,6.358764e-03
0.058000,7.296233e-05,1.128019e-03,0.000000e+00,2.694916e+00,2.092820e-05,8.433199e-05,8.183037e-03
0.059000,4.513152e-04,1.277526e-03,0.000000e+00,2.692221e+00,5.205021e-05,4.540563e-04,3.293032e-03
0.060000,6.286884e-03,1.241716e-03,0.000000e+00,2.689529e+00,1.942675e-04,6.490415e-03,2.976775e-02
0.061000,3.601121e-04,1.096771e-03,0.000000e+00,2.686839e+00,4.649448e-05,5.353922e-04,2.027328e-02
0.062000,1.607351e-03,1.049084e-03,0.000000e+00,2.684152e+00,9.822858e-05,1.840803e-03,7.239964e-03
0.063000,1.012157e-04,1.068825e-03,0.000000e+00,2.681468e+00,2.464941e-05,1.042919e-04,5.056458e-03
0.064000,4.481465e-03,1.076143e-03,0.000000e+00,2.678787e+00,1.640184e-04,4.425212e-03,2.247713e-04
0.065000,8.926892e-03,8.800459e-04,0.000000e+00,2.676108e+00,2.314902e-04,8.074772e-03,1.564414e-02
0.066000,2.231607e-04,8.959216e-04,0.000000e+00,2.673432e+00,3.660087e-05,2.097403e-05,1.720708e-02
0.067000,2.332309e-04,9.719464e-04,0.000000e+00,2.670758e+00,3.741757e-05,6.782328e-04,1.025092e-02
0.068000,7.938649e-03,1.014015e-03,0.000000e+00,2.668088e+00,2.183010e-04,6.372941e-03,3.825770e-02
0.069000,4.995924e-03,1.020397e-03,0.000000e+00,2.665420e+00,1.731771e-04,3.176303e-03,6.782333e-02
0.070000,3.010953e-04,9.788669e-04,0.000000e+00,2.662754e+00,4.251425e-05,1.248684e-03,4.845430e-02
0.071000,6.562742e-05,9.018550e-04,0.000000e+00,2.660091e+00,1.984839e-05,5.848258e-04,3.690235e-02
0.072000,3.319326e-03,8.608526e-04,0.000000e+00,2.657431e+00,1.411586e-04,5.248531e-03,1.297451e-02
0.073000,1.195111e-04,8.946936e-04,0.000000e+00,2.654774e+00,2.678469e-05,6.891435e-08,1.320811e-02
0.074000,1.535477e-03,6.807674e-04,1.562500e+01,2.834385e+00,9.600729e-05,8.058929e-04,2.057952e-02
0.075000,1.473966e-04,6.542595e-04,0.000000e+00,2.831550e+00,2.974584e-05,8.898115e-05,1.801302e-02
0.076000,2.254987e-03,6.615826e-04,0.000000e+00,2.828719e+00,1.163468e-04,6.935027e-04,2.555384e-02
0.077000,7.408388e-04,6.215100e-04,0.000000e+00,2.825890e+00,6.668749e-05,1.944642e-05,2.677962e-02
0.078000,1.329200e-04,5.851471e-04,0.000000e+00,2.823064e+00,2.824735e-05,1.206947e-03,1.710159e-02
0.079000,2.763630e-04,4.962209e-04,0.000000e+00,2.820241e+00,4.073075e-05,1.443693e-03,8.964159e-03
0.080000,4.932146e-05,1.072024e-03,1.562500e+01,2.989625e+00,1.720681e-05,1.514122e-04,7.137340e-03
0.081000,7.511615e-04,1.099001e-03,0.000000e+00,2.986636e+00,6.715049e-05,5.463839e-05,8.244822e-03
0.082000,3.525597e-03,6.112241e-04,1.562500e+01,3.146770e+00,1.454785e-04,1.511168e-03,1.524295e-02
0.083000,2.023468e-05,5.528735e-04,0.000000e+00,3.143623e+00,1.102125e-05,4.187095e-04,1.100459e-02
0.084000,1.511651e-03,6.257117e-04,0.000000e+00,3.140480e+00,9.525948e-05,2.897757e-03,3.744884e-03
