t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.011794e-02,1.562500e+01,1.000000e+00,1.336791e-03,2.976885e-03,3.022917e-03
0.001000,9.073899e-03,1.924126e-02,1.562500e+01,1.413507e+00,2.333885e-03,2.475984e-03,1.021829e-03
0.002000,9.403109e-03,6.712902e-03,1.562500e+01,1.730320e+00,2.375846e-03,1.198245e-03,9.503804e-04
0.003000,3.454635e-05,1.307283e-02,1.562500e+01,1.997003e+00,1.440070e-04,3.169436e-03,1.221255e-03
0.004000,5.480661e-03,3.549813e-02,1.562500e+01,2.231603e+00,1.813840e-03,2.736926e-03,1.561279e-03
0.005000,2.118509e-03,1.664534e-02,1.562500e+01,2.443378e+00,1.127711e-03,9.251451e-04,8.074620e-04
0.006000,1.217454e-02,1.685730e-02,1.562500e+01,2.637833e+00,2.703391e-03,4.701103e-04,1.605766e-03
0.007000,3.109103e-03,1.629203e-02,0.000000e+00,2.635195e+00,1.366155e-03,2.284252e-03,2.452793e-03
0.008000,1.015033e-03,1.677516e-02,0.000000e+00,2.632560e+00,7.805893e-04,3.092808e-04,5.622203e-03
0.009000,5.250221e-03,1.609132e-02,0.000000e+00,2.629927e+00,1.775298e-03,3.141431e-03,2.752339e-02
0.010000,3.666004e-04,1.510794e-02,0.000000e+00,2.627297e+00,4.691146e-04,1.285069e-05,2.424777e-02
0.011000,1.223956e-03,1.443334e-02,0.000000e+00,2.624670e+00,8.571669e-04,1.563321e-04,3.195031e-02
0.012000,6.257581e-03,1.428161e-02,0.000000e+00,2.622045e+00,1.938143e-03,3.052734e-03,8.993742e-02
0.013000,1.913352e-02,1.486865e-02,0.000000e+00,2.619423e+00,3.389066e-03,1.188579e-02,3.111180e-01
0.014000,1.143277e-06,1.509432e-02,0.000000e+00,2.616804e+00,2.619740e-05,1.661813e-03,2.093203e-01
0.015000,3.477414e-05,1.489890e-02,0.000000e+00,2.614187e+00,1.444810e-04,9.383290e-04,1.428650e-01
0.016000,3.056229e-03,1.448215e-02,0.000000e+00,2.611573e+00,1.354489e-03,4.431747e-04,1.878158e-01
0.017000,1.097625e-02,1.414234e-02,0.000000e+00,2.608961e+00,2.566903e-03,4.671396e-03,3.875277e-01
0.018000,6.686023e-03,1.420695e-02,0.000000e+00,2.606352e+00,2.003394e-03,1.522499e-03,5.404583e-01
0.019000,8.810229e-03,1.417581e-02,0.000000e+00,2.603746e+00,2.299726e-03,2.224175e-03,7.617115e-01
0.020000,8.715758e-05,1.456283e-02,0.000000e+00,2.601142e+00,2.287363e-04,3.694914e-03,4.819628e-01
0.021000,9.581460e-05,1.483891e-02,0.000000e+00,2.598541e+00,2.398272e-04,1.391425e-03,3.399628e-01
0.022000,3.121121e-04,1.493613e-02,0.000000e+00,2.595942e+00,4.328504e-04,3.872553e-03,1.559252e-01
0.023000,8.272474e-05,1.464961e-02,0.000000e+00,2.593346e+00,2.228436e-04,9.425393e-04,8.988947e-02
0.024000,3.518587e-03,1.481263e-02,0.000000e+00,2.590753e+00,1.453338e-03,4.745716e-04,1.349793e-01
0.025000,4.801939e-04,1.420767e-02,0.000000e+00,2.588162e+00,5.368968e-04,3.791097e-03,3.126992e-02
0.026000,2.364932e-04,1.405600e-02,0.000000e+00,2.585574e+00,3.767834e-04,3.745768e-04,1.376080e-02
0.027000,1.966467e-02,1.461139e-02,0.000000e+00,2.582989e+00,3.435784e-03,1.145045e-02,1.957823e-01
0.028000,5.722648e-04,1.410613e-02,0.000000e+00,2.580406e+00,5.861126e-04,4.403333e-03,5.892259e-02
0.029000,1.750738e-03,1.433633e-02,0.000000e+00,2.577825e+00,1.025163e-03,2.162546e-05,6.607769e-02
0.030000,3.201943e-04,1.391633e-02,0.000000e+00,2.575247e+00,4.384189e-04,3.961082e-04,3.894513e-02
0.031000,1.477137e-03,1.386410e-02,0.000000e+00,2.572672e+00,9.416572e-04,4.415130e-06,4.189708e-02
0.032000,6.286074e-03,1.351921e-02,0.000000e+00,2.570099e+00,1.942550e-03,1.815560e-03,1.047439e-01
0.033000,9.498688e-03,1.401362e-02,0.000000e+00,2.567529e+00,2.387890e-03,3.252051e-03,2.341185e-01
0.034000,1.831846e-02,1.419297e-02,0.000000e+00,2.564962e+00,3.316095e-03,8.071115e-03,5.301321e-01
0.035000,4.644641e-04,1.454865e-02,0.000000e+00,2.562397e+00,5.280300e-04,1.017444e-03,4.162276e-01
0.036000,1.653133e-02,1.497041e-02,0.000000e+00,2.559834e+00,3.150188e-03,5.940991e-03,7.175263e-01
0.037000,3.224059e-03,1.449997e-02,0.000000e+00,2.557275e+00,1.391182e-03,2.816864e-06,7.078995e-01
0.038000,2.089593e-03,1.406058e-02,0.000000e+00,2.554717e+00,1.119988e-03,1.099199e-02,3.355250e-01
0.039000,1.821699e-05,1.418478e-02,0.000000e+00,2.552163e+00,1.045733e-04,2.222208e-03,2.161750e-01
0.040000,5.045215e-03,1.384942e-02,0.000000e+00,2.549610e+00,1.740293e-03,5.236114e-04,2.677155e-01
0.041000,9.968804e-03,1.365293e-02,0.000000e+00,2.547061e+00,2.446268e-03,2.443673e-03,3.966045e-01
0.042000,3.960564e-03,1.352727e-02,0.000000e+00,2.544514e+00,1.541917e-03,6.577209e-05,4.197782e-01
