t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.802308e-05,1.093750e+02,2.976885e-03,3.022917e-03
0.001000,1.064042e-05,1.097097e-05,0.000000e+00,2.475984e-03,1.021829e-03
0.002000,4.184817e-05,1.763196e-05,0.000000e+00,1.198245e-03,9.503804e-04
0.003000,5.308578e-03,1.254928e-05,0.000000e+00,3.169436e-03,1.221255e-03
0.004000,4.655538e-04,2.077642e-05,0.000000e+00,2.736926e-03,1.561279e-03
0.005000,2.552390e-03,1.460664e-05,0.000000e+00,9.251451e-04,8.074620e-04
0.006000,2.206699e-03,4.903971e-05,0.000000e+00,4.701103e-04,1.605766e-03
0.007000,3.710213e-04,3.544013e-05,0.000000e+00,2.284252e-03,2.452793e-03
0.008000,2.117234e-05,4.816240e-05,0.000000e+00,3.092808e-04,5.622203e-03
0.009000,1.298445e-03,2.900738e-05,0.000000e+00,3.141431e-03,2.752339e-02
0.010000,2.972599e-04,7.351475e-06,0.000000e+00,1.285069e-05,2.424777e-02
0.011000,1.867508e-06,1.257931e-05,0.000000e+00,1.563321e-04,3.195031e-02
0.012000,1.830948e-03,1.409016e-05,0.000000e+00,3.052734e-03,8.993742e-02
0.013000,1.041318e-02,6.871924e-06,0.000000e+00,1.188579e-02,3.111180e-01
0.014000,1.392181e-03,1.399658e-05,0.000000e+00,1.661813e-03,2.093203e-01
0.015000,9.186659e-04,5.676018e-06,0.000000e+00,9.383290e-04,1.428650e-01
0.016000,3.653035e-04,6.681590e-06,0.000000e+00,4.431747e-04,1.878158e-01
0.017000,4.710557e-03,1.297973e-05,0.000000e+00,4.671396e-03,3.875277e-01
0.018000,2.085763e-03,9.118872e-06,0.000000e+00,1.522499e-03,5.404583e-01
0.019000,3.340952e-03,9.123422e-06,0.000000e+00,2.224175e-03,7.617115e-01
0.020000,2.057676e-03,4.597403e-06,0.000000e+00,3.694914e-03,4.819628e-01
0.021000,6.865066e-04,3.738261e-06,0.000000e+00,1.391425e-03,3.399628e-01
0.022000,2.875155e-03,1.389541e-05,0.000000e+00,3.872553e-03,1.559252e-01
0.023000,7.194469e-04,7.943076e-06,0.000000e+00,9.425393e-04,8.988947e-02
0.024000,5.492357e-04,1.128060e-05,0.000000e+00,4.745716e-04,1.349793e-01
0.025000,3.336142e-03,1.061444e-05,0.000000e+00,3.791097e-03,3.126992e-02
0.026000,4.174601e-04,9.835646e-06,0.000000e+00,3.745768e-04,1.376080e-02
0.027000,1.091114e-02,2.276418e-06,0.000000e+00,1.145045e-02,1.957823e-01
0.028000,3.559393e-03,1.442060e-05,0.000000e+00,4.403333e-03,5.892259e-02
0.029000,3.768696e-05,3.523616e-06,0.000000e+00,2.162546e-05,6.607769e-02
0.030000,3.158858e-04,8.302491e-06,0.000000e+00,3.961082e-04,3.894513e-02
0.031000,7.851491e-06,4.204326e-05,0.000000e+00,4.415130e-06,4.189708e-02
0.032000,1.908721e-03,5.562993e-05,0.000000e+00,1.815560e-03,1.047439e-01
0.033000,3.831728e-03,5.341650e-05,0.000000e+00,3.252051e-03,2.341185e-01
0.034000,9.964234e-03,3.152536e-05,0.000000e+00,8.071115e-03,5.301321e-01
0.035000,1.942606e-04,4.291178e-05,0.000000e+00,1.017444e-03,4.162276e-01
0.036000,8.671438e-03,3.377809e-05,0.000000e+00,5.940991e-03,7.175263e-01
0.037000,4.563594e-04,3.936146e-05,0.000000e+00,2.816864e-06,7.078995e-01
0.038000,6.576380e-03,3.756214e-05,0.000000e+00,1.099199e-02,3.355250e-01
0.039000,9.659222e-04,1.606038e-05,0.000000e+00,2.222208e-03,2.161750e-01
0.040000,1.275747e-03,8.807574e-06,0.000000e+00,5.236114e-04,2.677155e-01
0.041000,4.168914e-03,7.811802e-06,0.000000e+00,2.443673e-03,3.966045e-01
0.042000,7.668203e-04,8.846919e-06,0.000000e+00,6.577209e-05,4.197782e-01
