t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,2.750205e-05,2.812500e+02,4.242641e-03,1.336791e-02,2.976885e-03,3.022917e-03
0.001000,2.082519e-05,1.487794e-05,0.000000e+00,4.241368e-03,1.118090e-03,2.475984e-03,1.021829e-03
0.002000,2.671744e-05,2.153872e-05,0.000000e+00,4.240095e-03,1.266426e-03,1.198245e-03,9.503804e-04
0.003000,5.499519e-03,1.632661e-05,0.000000e+00,4.238823e-03,1.816958e-02,3.169436e-03,1.221255e-03
0.004000,4.112505e-04,1.498838e-05,1.562500e+01,4.353946e-03,4.968619e-03,2.736926e-03,1.561279e-03
0.005000,2.764734e-03,1.024428e-05,0.000000e+00,4.352640e-03,1.288277e-02,9.251451e-04,8.074620e-04
0.006000,2.404282e-03,4.125898e-05,0.000000e+00,4.351334e-03,1.201366e-02,4.701103e-04,1.605766e-03
0.007000,2.960310e-04,2.246499e-05,0.000000e+00,4.350029e-03,4.215520e-03,2.284252e-03,2.452793e-03
0.008000,4.430380e-05,4.043409e-05,0.000000e+00,4.348724e-03,1.630809e-03,3.092808e-04,5.622203e-03
0.009000,1.154693e-03,1.714905e-05,0.000000e+00,4.347419e-03,8.325603e-03,3.141431e-03,2.752339e-02
0.010000,3.722126e-04,2.602466e-07,0.000000e+00,4.346115e-03,4.726918e-03,1.285069e-05,2.424777e-02
0.011000,1.167291e-05,7.405242e-06,0.000000e+00,4.344811e-03,8.370900e-04,1.563321e-04,3.195031e-02
0.012000,1.659843e-03,1.069800e-05,0.000000e+00,4.343507e-03,9.981964e-03,3.052734e-03,8.993742e-02
0.013000,9.999634e-03,5.408597e-07,0.000000e+00,4.342204e-03,2.450048e-02,1.188579e-02,3.111180e-01
0.014000,1.548988e-03,2.501542e-06,0.000000e+00,4.340902e-03,9.642874e-03,1.661813e-03,2.093203e-01
0.015000,1.046727e-03,1.916133e-06,3.125000e+01,4.564222e-03,7.926823e-03,9.383290e-04,1.428650e-01
0.016000,2.720010e-04,9.576265e-06,0.000000e+00,4.562853e-03,4.040804e-03,4.431747e-04,1.878158e-01
0.017000,4.357952e-03,2.489754e-05,1.562500e+01,4.669811e-03,1.617424e-02,4.671396e-03,3.875277e-01
0.018000,1.892961e-03,2.652674e-05,0.000000e+00,4.668410e-03,1.065990e-02,1.522499e-03,5.404583e-01
0.019000,3.095875e-03,2.231177e-05,0.000000e+00,4.667010e-03,1.363246e-02,2.224175e-03,7.617115e-01
0.020000,2.258186e-03,2.042459e-05,0.000000e+00,4.665610e-03,1.164293e-02,3.694914e-03,4.819628e-01
0.021000,8.042002e-04,1.615772e-05,0.000000e+00,4.664210e-03,6.948077e-03,1.391425e-03,3.399628e-01
0.022000,3.110964e-03,3.096197e-05,0.000000e+00,4.662811e-03,1.366564e-02,3.872553e-03,1.559252e-01
0.023000,8.396341e-04,2.503200e-05,0.000000e+00,4.661412e-03,7.099496e-03,9.425393e-04,8.988947e-02
0.024000,4.529853e-04,2.791386e-05,0.000000e+00,4.660013e-03,5.214643e-03,4.745716e-04,1.349793e-01
0.025000,3.589216e-03,4.004696e-05,1.562500e+01,4.764735e-03,1.467852e-02,3.791097e-03,3.126992e-02
0.026000,5.229348e-04,3.918996e-05,0.000000e+00,4.763305e-03,5.602815e-03,3.745768e-04,1.376080e-02
0.027000,1.040853e-02,1.820256e-05,0.000000e+00,4.761876e-03,2.499638e-02,1.145045e-02,1.957823e-01
0.028000,3.855565e-03,4.632794e-05,0.000000e+00,4.760448e-03,1.521341e-02,4.403333e-03,5.892259e-02
0.029000,1.375006e-05,2.417841e-05,0.000000e+00,4.759020e-03,9.085207e-04,2.162546e-05,6.607769e-02
0.030000,4.081352e-04,3.530296e-05,0.000000e+00,4.757592e-03,4.949764e-03,3.961082e-04,3.894513e-02
0.031000,1.402920e-07,8.708596e-05,0.000000e+00,4.756165e-03,9.176963e-05,4.415130e-06,4.189708e-02
0.032000,1.702643e-03,1.087325e-04,0.000000e+00,4.754738e-03,1.010984e-02,1.815560e-03,1.047439e-01
