t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,1.546994e-04,2.959405e-06,2.812500e+02,4.242641e-03,2.055597e-03,1.546994e-04,1.995269e-04
0.001000,6.233177e-04,2.307659e-05,1.562500e+01,4.357660e-03,4.126182e-03,1.577413e-04,5.291661e-04
0.002000,8.767246e-04,1.411980e-05,3.125000e+01,4.580154e-03,4.893564e-03,1.193307e-04,7.036104e-04
0.003000,1.525966e-03,2.057050e-05,0.000000e+00,4.578780e-03,6.456038e-03,3.770561e-03,1.216580e-03
0.004000,1.448182e-04,3.495424e-05,3.125000e+01,4.790892e-03,1.988864e-03,3.570231e-04,2.482749e-03
0.005000,5.000790e-03,3.053695e-05,0.000000e+00,4.789455e-03,1.168727e-02,5.432079e-03,1.520716e-02
0.006000,1.393643e-03,6.562944e-06,1.562500e+01,4.891331e-03,6.169777e-03,2.212376e-03,4.074975e-03
0.007000,9.756219e-04,1.218038e-05,0.000000e+00,4.889863e-03,5.162196e-03,8.087442e-04,1.063902e-02
0.008000,1.636207e-03,1.621595e-05,1.562500e+01,4.989631e-03,6.685176e-03,2.218310e-03,9.577075e-04
0.009000,8.659640e-03,6.878069e-05,0.000000e+00,4.988134e-03,1.537955e-02,8.853729e-03,1.760181e-02
0.010000,3.331715e-04,4.881060e-05,1.562500e+01,5.085918e-03,3.016669e-03,7.668852e-05,2.256635e-02
0.011000,1.637749e-06,7.920236e-05,0.000000e+00,5.084392e-03,2.115034e-04,1.400029e-04,1.633491e-02
0.012000,7.208428e-04,6.971594e-05,0.000000e+00,5.082866e-03,4.437251e-03,3.002720e-04,2.698774e-02
0.013000,7.285270e-03,3.386575e-05,1.562500e+01,5.178806e-03,1.410641e-02,9.343831e-03,3.885241e-03
0.014000,7.155955e-03,1.785707e-05,0.000000e+00,5.177252e-03,1.398065e-02,6.739728e-03,1.965013e-02
0.015000,3.003808e-03,5.009502e-05,0.000000e+00,5.175699e-03,9.057946e-03,2.019386e-03,6.327129e-02
0.016000,2.216533e-03,7.131601e-05,0.000000e+00,5.174147e-03,7.780917e-03,3.731140e-03,7.557660e-03
0.017000,1.830985e-04,3.258618e-05,0.000000e+00,5.172594e-03,2.236331e-03,5.036087e-04,8.008584e-04
0.018000,1.758688e-04,8.948587e-06,0.000000e+00,5.171043e-03,2.191735e-03,3.850050e-05,2.417625e-03
0.019000,8.300209e-07,1.072133e-06,0.000000e+00,5.169491e-03,1.505699e-04,4.503533e-05,8.904468e-04
0.020000,1.844913e-03,9.801728e-06,0.000000e+00,5.167940e-03,7.098746e-03,2.504719e-03,1.482752e-02
0.021000,1.494644e-04,2.333301e-05,0.000000e+00,5.166390e-03,2.020517e-03,2.270188e-04,2.828764e-02
0.022000,1.053636e-03,8.750902e-06,0.000000e+00,5.164840e-03,5.364620e-03,9.625966e-04,4.956943e-03
0.023000,2.332988e-04,4.474648e-06,0.000000e+00,5.163291e-03,2.524352e-03,1.289529e-04,1.422608e-03
0.024000,8.123795e-04,4.480454e-06,0.000000e+00,5.161742e-03,4.710567e-03,5.609924e-04,1.414935e-03
0.025000,1.571421e-03,5.593593e-06,0.000000e+00,5.160193e-03,6.551489e-03,1.078325e-03,1.824212e-02
0.026000,1.088112e-03,3.702407e-05,0.000000e+00,5.158645e-03,5.451683e-03,5.449001e-04,4.323540e-02
0.027000,8.326296e-06,1.804151e-05,0.000000e+00,5.157097e-03,4.768915e-04,2.148507e-04,2.626699e-02
0.028000,3.636723e-03,2.340783e-05,0.000000e+00,5.155550e-03,9.966640e-03,2.457780e-03,9.544113e-02
0.029000,1.552176e-04,4.320163e-05,0.000000e+00,5.154004e-03,2.059037e-03,7.054826e-06,9.118951e-02
0.030000,1.984813e-02,4.292940e-05,0.000000e+00,5.152457e-03,2.328378e-02,1.579631e-02,4.450609e-01
0.031000,1.939103e-03,5.747142e-05,3.125000e+01,5.341525e-03,7.277700e-03,3.195312e-04,5.137163e-01
0.032000,2.856306e-03,3.701562e-05,0.000000e+00,5.339923e-03,8.832753e-03,6.302409e-04,6.219803e-01
0.033000,1.642634e-03,1.334496e-05,0.000000e+00,5.338321e-03,6.698292e-03,5.141378e-03,3.494684e-01
0.034000,1.766025e-04,3.755168e-06,0.000000e+00,5.336719e-03,2.196302e-03,1.604159e-04,3.109574e-01
0.035000,1.884610e-03,1.494092e-05,1.562500e+01,5.428028e-03,7.174712e-03,4.747662e-03,1.388288e-01
0.036000,9.975147e-04,1.934941e-05,0.000000e+00,5.426400e-03,5.219793e-03,2.695493e-03,5.704053e-02
0.037000,1.276440e-05,9.365416e-06,0.000000e+00,5.424772e-03,5.904646e-04,1.653094e-04,4.250068e-02
0.038000,5.441365e-08,1.551798e-05,0.000000e+00,5.423144e-03,3.855206e-05,2.512442e-04,2.749235e-02
0.039000,6.276322e-04,1.533949e-05,0.000000e+00,5.421517e-03,4.140438e-03,1.105978e-04,3.645807e-02
0.040000,2.658677e-03,2.683635e-05,0.000000e+00,5.419891e-03,8.521704e-03,4.504533e-03,1.003814e-03
0.041000,2.007921e-04,4.173411e-05,3.125000e+02,9.215066e-03,2.341893e-03,1.443512e-05,1.521635e-03
0.042000,2.644845e-04,3.027388e-05,1.562500e+01,9.372409e-03,2.687781e-03,7.274223e-04,5.491546e-04
0.043000,1.707711e-04,5.486878e-05,3.125000e+01,9.681965e-03,2.159737e-03,4.706351e-04,5.141098e-03
0.044000,4.164209e-04,5.365642e-05,0.000000e+00,9.679060e-03,3.372562e-03,7.464220e-04,1.694990e-02
0.045000,2.457757e-04,5.308410e-05,4.687500e+01,1.002891e-02,2.590975e-03,1.197556e-04,1.151467e-02
0.046000,9.956649e-04,9.234998e-05,0.000000e+00,1.002590e-02,5.214951e-03,1.369390e-03,3.412342e-02
