t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.000117e+02,1.562500e+01,1.000000e+00,1.336791e-01,2.976885e-03,3.022917e-03
0.001000,9.975200e+01,7.375653e-04,1.562500e+01,1.414001e+00,2.447053e+01,2.475984e-03,1.021829e-03
0.002000,9.879373e-06,9.947193e+01,1.562500e+01,1.731531e+00,7.701001e-03,1.198245e-03,9.503804e-04
0.003000,7.537172e-01,4.359970e-02,1.562500e+01,1.999100e+00,2.127094e+00,3.169436e-03,1.221255e-03
0.004000,5.173597e-02,9.587050e+01,1.562500e+01,2.234727e+00,5.572869e-01,2.736926e-03,1.561279e-03
0.005000,9.464676e+01,1.514239e+00,1.562500e+01,2.447654e+00,2.383611e+01,9.251451e-04,8.074620e-04
0.006000,1.080552e-02,7.697733e+01,1.562500e+01,2.643372e+00,2.546862e-01,4.701103e-04,1.605766e-03
0.007000,4.030736e-05,1.614996e+00,1.562500e+01,2.825460e+00,1.555517e-02,2.284252e-03,2.452793e-03
0.008000,1.176652e-01,7.633214e+01,1.562500e+01,2.996403e+00,8.404397e-01,3.092808e-04,5.622203e-03
0.009000,9.810834e+00,2.061957e+00,1.562500e+01,3.158013e+00,7.674242e+00,3.141431e-03,2.752339e-02
0.010000,4.406620e-02,7.346065e+01,1.562500e+01,3.311656e+00,5.143223e-01,1.285069e-05,2.424777e-02
0.011000,5.734495e+00,4.012853e+00,1.562500e+01,3.458393e+00,5.867189e+00,1.563321e-04,3.195031e-02
0.012000,3.450300e+00,6.396455e+01,1.562500e+01,3.599071e+00,4.551043e+00,3.052734e-03,8.993742e-02
0.013000,5.132362e+01,4.061667e+00,1.562500e+01,3.734373e+00,1.755259e+01,1.188579e-02,3.111180e-01
0.014000,2.838210e+00,6.388278e+01,1.562500e+01,3.864864e+00,4.127668e+00,1.661813e-03,2.093203e-01
0.015000,4.117652e+01,4.360179e+00,1.562500e+01,3.991016e+00,1.572198e+01,9.383290e-04,1.428650e-01
0.016000,3.955795e+00,6.443539e+01,1.562500e+01,4.113229e+00,4.873033e+00,4.431747e-04,1.878158e-01
0.017000,6.326931e+01,3.959951e+00,1.562500e+01,4.231844e+00,1.948853e+01,4.671396e-03,3.875277e-01
0.018000,4.019737e+00,6.421368e+01,1.562500e+01,4.347156e+00,4.912260e+00,1.522499e-03,5.404583e-01
0.019000,6.038714e+01,4.024376e+00,1.562500e+01,4.459420e+00,1.903946e+01,2.224175e-03,7.617115e-01
0.020000,3.369398e+00,6.393527e+01,1.562500e+01,4.568862e+00,4.497371e+00,3.694914e-03,4.819628e-01
0.021000,5.526461e+01,4.241878e+00,1.562500e+01,4.675679e+00,1.821403e+01,1.391425e-03,3.399628e-01
0.022000,3.960074e+00,6.380630e+01,1.562500e+01,4.780048e+00,4.875669e+00,3.872553e-03,1.559252e-01
0.023000,6.349409e+01,5.691562e+00,1.562500e+01,5.081476e+00,1.952312e+01,9.425393e-04,8.988947e-02
0.024000,4.312193e+00,5.816429e+01,1.562500e+01,5.177442e+00,5.087818e+00,4.745716e-04,1.349793e-01
0.025000,3.748996e+01,5.638944e+00,1.562500e+01,5.271606e+00,1.500168e+01,3.791097e-03,3.126992e-02
0.026000,3.400407e+00,5.817314e+01,1.562500e+01,5.364061e+00,4.518018e+00,3.745768e-04,1.376080e-02
0.027000,3.256640e+01,5.667023e+00,1.562500e+01,5.454896e+00,1.398194e+01,1.145045e-02,1.957823e-01
0.028000,2.761009e+00,5.819517e+01,1.562500e+01,5.544190e+00,4.071144e+00,4.403333e-03,5.892259e-02
0.029000,2.558649e+01,5.791263e+00,1.562500e+01,5.632016e+00,1.239333e+01,2.162546e-05,6.607769e-02
0.030000,1.501103e+00,5.885636e+01,1.562500e+01,5.718441e+00,3.001842e+00,3.961082e-04,3.894513e-02
0.031000,3.206621e+01,5.625142e+00,1.562500e+01,5.803530e+00,1.387415e+01,4.415130e-06,4.189708e-02
0.032000,1.992156e+00,5.933511e+01,1.562500e+01,5.887338e+00,3.458153e+00,1.815560e-03,1.047439e-01
0.033000,3.528598e+01,5.663796e+00,1.562500e+01,5.969921e+00,1.455404e+01,3.252051e-03,2.341185e-01
0.034000,5.369514e+00,5.832409e+01,1.562500e+01,6.051328e+00,5.677407e+00,8.071115e-03,5.301321e-01
0.035000,4.400463e+01,5.718154e+00,1.562500e+01,6.131607e+00,1.625293e+01,1.017444e-03,4.162276e-01
0.036000,5.491388e+00,6.049430e+01,1.562500e+01,6.210801e+00,5.741476e+00,5.940991e-03,7.175263e-01
0.037000,2.991496e+01,5.468928e+00,1.562500e+01,6.288952e+00,1.340068e+01,2.816864e-06,7.078995e-01
0.038000,7.875479e-01,5.945655e+01,1.562500e+01,6.366097e+00,2.174308e+00,1.099199e-02,3.355250e-01
0.039000,2.312458e+00,5.255393e+00,1.562500e+01,6.442272e+00,3.725799e+00,2.222208e-03,2.161750e-01
0.040000,2.852410e-01,5.967164e+01,1.562500e+01,6.517513e+00,1.308545e+00,5.236114e-04,2.677155e-01
0.041000,3.653841e-01,5.327432e+00,1.562500e+01,6.591850e+00,1.481008e+00,2.443673e-03,3.966045e-01
0.042000,4.321435e-01,5.947862e+01,1.562500e+01,6.665315e+00,1.610633e+00,6.577209e-05,4.197782e-01
0.043000,9.389933e-01,6.029639e+00,1.562500e+01,6.737935e+00,2.374181e+00,9.236597e-10,4.191027e-01
0.044000,1.618438e+00,5.934963e+01,1.562500e+01,6.809738e+00,3.116955e+00,1.454312e-03,3.202869e-01
0.045000,3.954901e+01,5.321381e+00,1.562500e+01,6.880750e+00,1.540814e+01,1.518956e-03,4.207534e-01
0.046000,3.822747e+00,6.877326e+01,1.562500e+01,7.091634e+00,4.790384e+00,7.780869e-03,2.192825e-01
0.047000,6.099976e+01,3.085632e+00,1.562500e+01,7.159686e+00,1.913580e+01,1.368117e-03,2.951380e-01
0.048000,2.027277e+00,6.805995e+01,1.562500e+01,7.227057e+00,3.488503e+00,3.846493e-03,1.790377e-01
0.049000,4.073388e+01,3.448994e+00,1.562500e+01,7.293765e+00,1.563725e+01,1.244601e-03,1.277102e-01
0.050000,7.914539e-01,6.636659e+01,1.562500e+01,7.359830e+00,2.179693e+00,8.592022e-04,9.321097e-02
0.051000,1.458878e+01,3.502346e+00,1.562500e+01,7.425268e+00,9.358192e+00,2.962023e-03,1.615744e-01
0.052000,2.168100e-01,6.611343e+01,1.562500e+01,7.490095e+00,1.140833e+00,4.642627e-02,8.061910e-04
0.053000,6.065945e+00,5.190680e+00,1.562500e+01,7.554328e+00,6.034367e+00,6.973900e-03,2.842555e-02
0.054000,3.543428e+00,6.124246e+01,1.562500e+01,7.617981e+00,4.612053e+00,2.180589e-03,8.373954e-03
0.055000,2.312183e+01,1.430445e+01,1.562500e+01,7.681069e+00,1.178131e+01,7.510403e-04,2.394775e-03
0.056000,1.326975e+01,3.867582e+01,1.562500e+01,7.870245e+00,8.925116e+00,2.090062e-03,5.568838e-04
0.057000,3.769697e+01,2.899388e+01,1.562500e+01,7.931179e+00,1.504304e+01,1.344103e-03,6.358764e-03
0.058000,1.183434e+01,2.132940e+01,1.562500e+01,7.991612e+00,8.428584e+00,8.433199e-05,8.183037e-03
0.059000,8.370685e+00,5.971746e+01,1.562500e+01,8.051555e+00,7.088642e+00,4.540563e-04,3.293032e-03
0.060000,2.091447e+01,5.182142e+00,1.562500e+01,8.111020e+00,1.120485e+01,6.490415e-03,2.976775e-02
