t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.001170e+00,1.562500e+04,1.000000e+00,1.336791e-02,2.976885e-03,3.022917e-03
0.001000,9.891501e-01,1.098689e-05,1.562500e+04,1.413507e+00,2.436765e-01,2.475984e-03,1.021829e-03
0.002000,1.743060e-05,9.944694e-01,1.562500e+04,1.730320e+00,1.022913e-03,1.198245e-03,9.503804e-04
0.003000,2.382399e-02,3.822305e-02,1.562500e+04,1.997003e+00,3.781723e-02,3.169436e-03,1.221255e-03
0.004000,3.117241e-02,6.499420e-01,1.562500e+04,2.231603e+00,4.325813e-02,2.736926e-03,1.561279e-03
0.005000,5.617676e-01,1.105576e-01,1.562500e+04,2.443378e+00,1.836373e-01,9.251451e-04,8.074620e-04
0.006000,3.117462e-02,4.507512e-01,1.562500e+04,2.637833e+00,4.325966e-02,4.701103e-04,1.605766e-03
0.007000,5.440778e-02,1.110309e-01,1.562500e+04,2.818555e+00,5.714957e-02,2.284252e-03,2.452793e-03
0.008000,6.026845e-03,4.498428e-01,1.562500e+04,2.988038e+00,1.902074e-02,3.092808e-04,5.622203e-03
0.009000,8.635536e-03,1.354096e-01,1.562500e+04,3.148098e+00,2.276812e-02,3.141431e-03,2.752339e-02
0.010000,1.951339e-02,4.096169e-01,1.562500e+04,3.300108e+00,3.422542e-02,1.285069e-05,2.424777e-02
0.011000,1.137053e-02,1.778227e-01,1.562500e+04,3.445133e+00,2.612600e-02,1.563321e-04,3.195031e-02
0.012000,1.284212e-01,3.362621e-01,1.562500e+04,3.584022e+00,8.780130e-02,3.052734e-03,8.993742e-02
0.013000,1.336168e-01,1.967027e-01,1.562500e+04,3.717464e+00,8.955978e-02,1.188579e-02,3.111180e-01
0.014000,1.553676e-01,3.101367e-01,1.562500e+04,3.846026e+00,9.657455e-02,1.661813e-03,2.093203e-01
0.015000,3.453412e-01,2.072907e-01,1.562500e+04,4.211004e+00,1.439815e-01,9.383290e-04,1.428650e-01
0.016000,2.130267e-01,3.731893e-01,1.562500e+04,4.324015e+00,1.130836e-01,4.431747e-04,1.878158e-01
0.017000,9.068614e-02,1.515869e-01,1.562500e+04,4.433929e+00,7.378243e-02,4.671396e-03,3.875277e-01
0.018000,9.415977e-02,3.740125e-01,1.562500e+04,4.540972e+00,7.518223e-02,1.522499e-03,5.404583e-01
0.019000,1.294545e-01,1.677834e-01,1.562500e+04,4.645343e+00,8.815382e-02,2.224175e-03,7.617115e-01
0.020000,1.090550e-01,3.808329e-01,1.562500e+04,4.747217e+00,8.091057e-02,3.694914e-03,4.819628e-01
0.021000,1.751299e-01,1.521316e-01,1.562500e+04,4.846754e+00,1.025328e-01,1.391425e-03,3.399628e-01
0.022000,1.650627e-02,4.317771e-01,1.562500e+04,4.944094e+00,3.147799e-02,3.872553e-03,1.559252e-01
0.023000,3.702083e-01,1.180118e-01,1.562500e+04,5.039365e+00,1.490753e-01,9.425393e-04,8.988947e-02
0.024000,1.083627e-01,4.648768e-01,1.562500e+04,5.132683e+00,8.065335e-02,4.745716e-04,1.349793e-01
0.025000,1.963608e-01,1.041780e-01,1.562500e+04,5.224153e+00,1.085700e-01,3.791097e-03,3.126992e-02
0.026000,9.963058e-03,4.971973e-01,1.562500e+04,5.313870e+00,2.445563e-02,3.745768e-04,1.376080e-02
0.027000,3.736532e-02,1.862548e-01,1.562500e+04,5.401923e+00,4.736056e-02,1.145045e-02,1.957823e-01
0.028000,2.024900e-01,3.235861e-01,1.562500e+04,5.488391e+00,1.102515e-01,4.403333e-03,5.892259e-02
0.029000,3.013414e-01,1.919519e-01,1.562500e+04,5.573349e+00,1.344968e-01,2.162546e-05,6.607769e-02
0.030000,1.470994e-01,3.173838e-01,1.562500e+04,5.656866e+00,9.396971e-02,3.961082e-04,3.894513e-02
0.031000,2.235898e-01,2.280989e-01,1.562500e+04,5.739004e+00,1.158533e-01,4.415130e-06,4.189708e-02
0.032000,2.476885e-02,2.744365e-01,1.562500e+04,5.819822e+00,3.855986e-02,1.815560e-03,1.047439e-01
0.033000,9.985238e-02,2.294441e-01,1.562500e+04,5.899374e+00,7.742152e-02,3.252051e-03,2.341185e-01
0.034000,1.083063e-02,2.723289e-01,1.562500e+04,5.977712e+00,2.549819e-02,8.071115e-03,5.301321e-01
0.035000,5.255686e-02,2.420008e-01,1.562500e+04,6.054884e+00,5.616907e-02,1.017444e-03,4.162276e-01
0.036000,2.203515e-04,3.109845e-01,1.562500e+04,6.130932e+00,3.636976e-03,5.940991e-03,7.175263e-01
0.037000,4.785997e-02,2.032042e-01,1.562500e+04,6.205900e+00,5.360048e-02,2.816864e-06,7.078995e-01
0.038000,7.183121e-06,3.041396e-01,1.562500e+04,6.279825e+00,6.566578e-04,1.099199e-02,3.355250e-01
0.039000,1.111432e-02,2.127100e-01,1.562500e+04,6.352745e+00,2.582997e-02,2.222208e-03,2.161750e-01
0.040000,1.254485e-03,3.688354e-01,1.562500e+04,6.424694e+00,8.677911e-03,5.236114e-04,2.677155e-01
0.041000,6.364632e-02,1.691355e-01,1.562500e+04,6.495705e+00,6.181148e-02,2.443673e-03,3.966045e-01
0.042000,1.273987e-01,3.488066e-01,1.562500e+04,6.565808e+00,8.745105e-02,6.577209e-05,4.197782e-01
0.043000,1.800363e-01,1.749875e-01,1.562500e+04,6.635033e+00,1.039591e-01,9.236597e-10,4.191027e-01
0.044000,1.299262e-01,3.619418e-01,1.562500e+04,6.703406e+00,8.831427e-02,1.454312e-03,3.202869e-01
0.045000,2.957789e-01,1.838174e-01,1.562500e+04,6.770955e+00,1.332497e-01,1.518956e-03,4.207534e-01
0.046000,9.232933e-02,3.464216e-01,1.562500e+04,6.837703e+00,7.444788e-02,7.780869e-03,2.192825e-01
0.047000,9.879481e-02,1.747967e-01,1.562500e+04,6.903675e+00,7.701043e-02,1.368117e-03,2.951380e-01
0.048000,8.611803e-02,3.490359e-01,1.562500e+04,6.968891e+00,7.190011e-02,3.846493e-03,1.790377e-01
0.049000,3.224650e-01,1.935516e-01,1.562500e+04,7.033375e+00,1.391310e-01,1.244601e-03,1.277102e-01
0.050000,7.455206e-02,6.544521e-01,1.562500e+04,7.097146e+00,6.689787e-02,8.592022e-04,9.321097e-02
0.051000,4.153832e-01,4.253064e-02,1.562500e+04,7.160223e+00,1.579090e-01,2.962023e-03,1.615744e-01
0.052000,3.897471e-03,6.437507e-01,1.562500e+04,7.222624e+00,1.529586e-02,4.642627e-02,8.061910e-04
0.053000,3.474884e-01,9.474991e-02,1.562500e+04,7.284368e+00,1.444284e-01,6.973900e-03,2.842555e-02
0.054000,5.869609e-02,5.550268e-01,1.562500e+04,7.345472e+00,5.935907e-02,2.180589e-03,8.373954e-03
0.055000,5.480290e-01,6.473198e-02,1.562500e+04,7.405950e+00,1.813779e-01,7.510403e-04,2.394775e-03
0.056000,4.085243e-02,6.261157e-01,1.562500e+04,7.465819e+00,4.952123e-02,2.090062e-03,5.568838e-04
0.057000,1.835200e-01,1.105178e-01,1.562500e+04,7.525093e+00,1.049601e-01,1.344103e-03,6.358764e-03
0.058000,1.046959e-01,8.743145e-01,1.562500e+04,7.583788e+00,7.927701e-02,8.433199e-05,8.183037e-03
0.059000,1.589350e-05,6.882850e-03,1.562500e+04,7.767491e+00,9.767700e-04,4.540563e-04,3.293032e-03
0.060000,1.843553e-02,8.868270e-01,1.562500e+04,7.943585e+00,3.326675e-02,6.490415e-03,2.976775e-02
0.061000,1.360793e-02,8.712250e-02,1.562500e+04,8.119662e+00,2.858107e-02,5.353922e-04,2.027328e-02
0.062000,6.423116e-02,5.023193e-01,1.562500e+04,8.172951e+00,6.209482e-02,1.840803e-03,7.239964e-03
0.063000,4.379056e-01,2.147146e-01,1.562500e+04,8.344923e+00,1.621335e-01,1.042919e-04,5.056458e-03
0.064000,7.908984e-02,5.642210e-01,1.562500e+04,8.507762e+00,6.890375e-02,4.425212e-03,2.247713e-04
0.065000,5.544678e-01,1.268406e-01,1.562500e+04,8.669310e+00,1.824403e-01,8.074772e-03,1.564414e-02
0.066000,6.958014e-04,4.261279e-01,1.562500e+04,8.718182e+00,6.462866e-03,2.097403e-05,1.720708e-02
0.067000,1.257071e-02,2.243760e-01,1.562500e+04,8.877019e+00,2.747023e-02,6.782328e-04,1.025092e-02
0.068000,6.422955e-02,2.795412e-01,1.562500e+04,8.924345e+00,6.209405e-02,6.372941e-03,3.825770e-02
0.069000,2.318998e-01,2.222982e-01,1.562500e+04,9.077051e+00,1.179866e-01,3.176303e-03,6.782333e-02
0.070000,1.372148e-01,4.553461e-01,1.562500e+04,9.122947e+00,9.075760e-02,1.248684e-03,4.845430e-02
0.071000,1.768522e-02,1.871367e-01,1.562500e+04,9.273239e+00,3.258276e-02,5.848258e-04,3.690235e-02
0.072000,1.185474e-01,4.354991e-01,1.562500e+04,9.317782e+00,8.435845e-02,5.248531e-03,1.297451e-02
0.073000,5.886511e-03,1.848335e-01,1.562500e+04,9.464194e+00,1.879799e-02,6.891435e-08,1.320811e-02
0.074000,1.587984e-01,4.709541e-01,1.562500e+04,9.507466e+00,9.763499e-02,8.058929e-04,2.057952e-02
0.075000,1.646698e-04,2.321080e-01,1.562500e+04,9.650233e+00,3.144050e-03,8.898115e-05,1.801302e-02
0.076000,2.280072e-01,2.844046e-01,1.562500e+04,9.792517e+00,1.169922e-01,6.935027e-04,2.555384e-02
