t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,3.974032e-02,1.562500e+01,1.000000e+00,2.055713e-03,2.976885e-03,3.022917e-03
0.001000,3.766737e-02,4.330631e-02,1.562500e+01,1.413507e+00,7.312471e-03,2.475984e-03,1.021829e-03
0.002000,3.529208e-02,2.596354e-02,1.562500e+01,1.730320e+00,7.078156e-03,1.198245e-03,9.503804e-04
0.003000,7.247933e-03,2.074715e-02,1.562500e+01,1.997003e+00,3.207662e-03,3.169436e-03,1.221255e-03
0.004000,1.620363e-02,3.200636e-02,1.562500e+01,2.231603e+00,4.796094e-03,2.736926e-03,1.561279e-03
0.005000,1.616051e-03,2.645064e-02,1.562500e+01,2.443378e+00,1.514639e-03,9.251451e-04,8.074620e-04
0.006000,2.945449e-02,1.985037e-02,1.562500e+01,2.637833e+00,6.466321e-03,4.701103e-04,1.605766e-03
0.007000,8.692817e-03,3.585030e-02,1.562500e+01,2.818555e+00,3.512868e-03,2.284252e-03,2.452793e-03
0.008000,7.466373e-03,2.827881e-02,1.562500e+01,2.988038e+00,3.255640e-03,3.092808e-04,5.622203e-03
0.009000,1.769946e-02,9.267813e-03,1.562500e+01,3.148098e+00,5.012583e-03,3.141431e-03,2.752339e-02
0.010000,6.690218e-03,2.605566e-02,1.562500e+01,3.300108e+00,3.081780e-03,1.285069e-05,2.424777e-02
0.011000,6.041811e-06,4.762706e-02,1.562500e+01,3.445133e+00,9.261153e-05,1.563321e-04,3.195031e-02
0.012000,1.908057e-02,2.790483e-02,1.562500e+01,3.584022e+00,5.204478e-03,3.052734e-03,8.993742e-02
0.013000,9.542800e-03,3.571167e-02,1.562500e+01,3.717464e+00,3.680607e-03,1.188579e-02,3.111180e-01
0.014000,3.776116e-02,2.774327e-02,1.562500e+01,3.846026e+00,7.321569e-03,1.661813e-03,2.093203e-01
0.015000,8.690163e-04,3.319984e-02,1.562500e+01,3.970182e+00,1.110697e-03,9.383290e-04,1.428650e-01
0.016000,1.740445e-02,3.196816e-02,1.562500e+01,4.090334e+00,4.970632e-03,4.431747e-04,1.878158e-01
0.017000,1.863668e-03,1.148610e-02,1.562500e+01,4.206827e+00,1.626544e-03,4.671396e-03,3.875277e-01
0.018000,1.079849e-02,4.089419e-02,1.562500e+01,4.319955e+00,3.915282e-03,1.522499e-03,5.404583e-01
