t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,8.168672e-04,1.562500e+01,1.000000e+00,4.935769e-04,2.976885e-03,3.022917e-03
0.001000,5.405524e-04,2.630416e-03,1.562500e+01,1.414069e+00,2.103259e-04,2.475984e-03,1.021829e-03
0.002000,9.464180e-04,7.750445e-03,1.562500e+01,1.731698e+00,2.783014e-04,1.198245e-03,9.503804e-04
0.003000,3.123644e-03,2.087864e-03,1.562500e+01,1.999388e+00,5.055971e-04,3.169436e-03,1.221255e-03
0.004000,1.244949e-03,6.519765e-03,1.562500e+01,2.235156e+00,3.191902e-04,2.736926e-03,1.561279e-03
0.005000,2.520029e-03,7.845154e-03,1.562500e+01,2.448241e+00,4.541263e-04,9.251451e-04,8.074620e-04
0.006000,3.524240e-04,1.765109e-02,1.562500e+01,2.644133e+00,1.698269e-04,4.701103e-04,1.605766e-03
0.007000,3.255252e-03,9.041835e-03,1.562500e+01,2.826409e+00,5.161384e-04,2.284252e-03,2.452793e-03
0.008000,2.024675e-04,1.461162e-02,1.562500e+01,2.997554e+00,1.287216e-04,3.092808e-04,5.622203e-03
0.009000,1.088447e-03,1.060101e-02,1.562500e+01,3.159378e+00,2.984540e-04,3.141431e-03,2.752339e-02
0.010000,2.325296e-05,2.001340e-02,1.562500e+01,3.313245e+00,4.362274e-05,1.285069e-05,2.424777e-02
0.011000,5.915144e-04,1.239170e-02,1.562500e+01,3.460219e+00,2.200171e-04,1.563321e-04,3.195031e-02
0.012000,2.097159e-03,1.787925e-02,1.562500e+01,3.601144e+00,4.142758e-04,3.052734e-03,8.993742e-02
0.013000,1.685452e-02,1.369181e-02,1.562500e+01,3.736703e+00,1.174443e-03,1.188579e-02,3.111180e-01
0.014000,1.259184e-03,2.139464e-02,1.562500e+01,3.867461e+00,3.210099e-04,1.661813e-03,2.093203e-01
0.015000,4.011955e-05,1.346429e-02,1.562500e+01,3.993889e+00,5.729964e-05,9.383290e-04,1.428650e-01
0.016000,4.684138e-04,2.231640e-02,1.562500e+01,4.116387e+00,1.957892e-04,4.431747e-04,1.878158e-01
0.017000,7.882031e-03,1.416926e-02,1.562500e+01,4.235296e+00,8.031430e-04,4.671396e-03,3.875277e-01
0.018000,1.978778e-03,2.348532e-02,1.562500e+01,4.350910e+00,4.024133e-04,1.522499e-03,5.404583e-01
0.019000,1.434868e-03,1.272366e-02,1.562500e+01,4.463485e+00,3.426729e-04,2.224175e-03,7.617115e-01
0.020000,2.864801e-03,1.422022e-02,1.562500e+01,4.573245e+00,4.841959e-04,3.694914e-03,4.819628e-01
0.021000,3.877936e-03,6.420653e-03,1.562500e+01,4.680389e+00,5.633447e-04,1.391425e-03,3.399628e-01
0.022000,5.924928e-03,2.501081e-03,1.562500e+01,4.785092e+00,6.963304e-04,3.872553e-03,1.559252e-01
0.023000,3.385185e-03,1.046244e-03,1.562500e+01,4.887512e+00,5.263384e-04,9.425393e-04,8.988947e-02
0.024000,2.621669e-05,2.045657e-03,1.562500e+01,5.183852e+00,4.631939e-05,4.745716e-04,1.349793e-01
0.025000,6.836108e-03,5.693855e-03,1.562500e+01,5.463847e+00,7.479599e-04,3.791097e-03,3.126992e-02
0.026000,1.278212e-03,3.093017e-03,1.562500e+01,5.553508e+00,3.234263e-04,3.745768e-04,1.376080e-02
0.027000,4.877798e-03,6.274232e-03,1.562500e+01,5.815874e+00,6.318089e-04,1.145045e-02,1.957823e-01
0.028000,5.875364e-03,6.019779e-03,1.562500e+01,6.066235e+00,6.934118e-04,4.403333e-03,5.892259e-02
0.029000,2.913369e-04,1.465131e-02,1.562500e+01,6.146885e+00,1.544086e-04,2.162546e-05,6.607769e-02
0.030000,4.565877e-05,5.867481e-03,1.562500e+01,6.384184e+00,6.112740e-05,3.961082e-04,3.894513e-02
0.031000,1.114290e-04,1.225586e-02,1.562500e+01,6.613311e+00,9.549332e-05,4.415130e-06,4.189708e-02
0.032000,1.069709e-03,4.516981e-03,1.562500e+01,6.834792e+00,2.958739e-04,1.815560e-03,1.047439e-01
0.033000,2.885636e-03,8.864531e-03,1.562500e+01,7.048942e+00,4.859534e-04,3.252051e-03,2.341185e-01
0.034000,1.294787e-02,1.483203e-02,1.562500e+01,7.256497e+00,1.029374e-03,8.071115e-03,5.301321e-01
0.035000,4.770659e-04,1.595157e-02,1.562500e+01,7.458088e+00,1.975891e-04,1.017444e-03,4.162276e-01
0.036000,1.279147e-02,7.442110e-03,1.562500e+01,7.654716e+00,1.023138e-03,5.940991e-03,7.175263e-01
0.037000,1.110607e-03,8.729792e-03,1.562500e+01,7.718211e+00,3.014770e-04,2.816864e-06,7.078995e-01
0.038000,9.359752e-03,1.189084e-02,1.562500e+01,7.907965e+00,8.751974e-04,1.099199e-02,3.355250e-01
0.039000,4.818751e-04,6.298313e-03,1.562500e+01,8.093523e+00,1.985825e-04,2.222208e-03,2.161750e-01
0.040000,6.525625e-04,3.465225e-03,1.562500e+01,8.274405e+00,2.310920e-04,5.236114e-04,2.677155e-01
0.041000,6.320559e-03,9.518676e-03,1.562500e+01,8.451155e+00,7.192031e-04,2.443673e-03,3.966045e-01
0.042000,1.246354e-03,9.502824e-03,1.562500e+01,8.624612e+00,3.193703e-04,6.577209e-05,4.197782e-01
0.043000,2.738715e-07,5.581434e-03,1.562500e+01,8.794257e+00,4.734207e-06,9.236597e-10,4.191027e-01
0.044000,3.122888e-03,1.288753e-02,1.562500e+01,8.960534e+00,5.055360e-04,1.454312e-03,3.202869e-01
0.045000,3.079835e-05,1.147049e-02,1.562500e+01,9.232184e+00,5.020391e-05,1.518956e-03,4.207534e-01
0.046000,8.126004e-03,4.340599e-03,1.562500e+01,9.390862e+00,8.154782e-04,7.780869e-03,2.192825e-01
0.047000,1.739855e-03,1.028489e-02,1.562500e+01,9.442051e+00,3.773379e-04,1.368117e-03,2.951380e-01
0.048000,1.443819e-03,7.791075e-03,1.562500e+01,9.596965e+00,3.437401e-04,3.846493e-03,1.790377e-01
0.049000,1.704815e-03,5.831834e-03,1.562500e+01,9.749294e+00,3.735188e-04,1.244601e-03,1.277102e-01
0.050000,3.621454e-03,1.371157e-02,1.562500e+01,9.898994e+00,5.443965e-04,8.592022e-04,9.321097e-02
0.051000,3.829134e-04,1.194466e-02,1.562500e+01,1.014519e+01,1.770207e-04,2.962023e-03,1.615744e-01
0.052000,4.760129e-02,8.366855e-03,1.562500e+01,1.028921e+01,1.973709e-03,4.642627e-02,8.061910e-04
0.053000,1.960630e-03,1.675759e-02,1.562500e+01,1.043144e+01,4.005638e-04,6.973900e-03,2.842555e-02
0.054000,6.376956e-03,7.925711e-03,1.562500e+01,1.057149e+01,7.224047e-04,2.180589e-03,8.373954e-03
0.055000,2.696057e-03,1.225434e-02,1.562500e+01,1.080209e+01,4.697193e-04,7.510403e-04,2.394775e-03
0.056000,2.490187e-03,7.776297e-03,1.562500e+01,1.093717e+01,4.514293e-04,2.090062e-03,5.568838e-04
0.057000,4.262673e-03,1.039444e-02,1.562500e+01,1.116006e+01,5.906291e-04,1.344103e-03,6.358764e-03
0.058000,2.422542e-04,3.855184e-03,1.562500e+01,1.137855e+01,1.408022e-04,8.433199e-05,8.183037e-03
0.059000,2.898037e-04,9.597294e-03,1.562500e+01,1.159269e+01,1.540018e-04,4.540563e-04,3.293032e-03
0.060000,1.045325e-02,5.892478e-03,1.562500e+01,1.180283e+01,9.249102e-04,6.490415e-03,2.976775e-02
0.061000,4.468298e-04,1.046834e-02,1.562500e+01,1.200906e+01,1.912251e-04,5.353922e-04,2.027328e-02
0.062000,4.156457e-04,3.702159e-03,1.562500e+01,1.221154e+01,1.844317e-04,1.840803e-03,7.239964e-03
0.063000,1.663159e-04,9.816374e-03,1.562500e+01,1.241058e+01,1.166650e-04,1.042919e-04,5.056458e-03
0.064000,2.871976e-03,3.270787e-03,1.562500e+01,1.244828e+01,4.848018e-04,4.425212e-03,2.247713e-04
0.065000,6.442061e-03,7.425851e-03,1.562500e+01,1.264362e+01,7.260830e-04,8.074772e-03,1.564414e-02
0.066000,3.364584e-04,9.309016e-03,1.562500e+01,1.275868e+01,1.659356e-04,2.097403e-05,1.720708e-02
0.067000,1.558416e-03,6.070047e-03,1.562500e+01,1.294927e+01,3.571212e-04,6.782328e-04,1.025092e-02
0.068000,2.111185e-03,1.053555e-02,1.562500e+01,1.306165e+01,4.156588e-04,6.372941e-03,3.825770e-02
0.069000,1.899133e-03,6.879218e-03,1.562500e+01,1.324792e+01,3.942316e-04,3.176303e-03,6.782333e-02
0.070000,4.063323e-03,1.459530e-02,1.562500e+01,1.343125e+01,5.766529e-04,1.248684e-03,4.845430e-02
0.071000,4.605461e-03,6.255761e-03,1.562500e+01,1.361229e+01,6.139180e-04,5.848258e-04,3.690235e-02
0.072000,1.095147e-02,1.419818e-02,1.562500e+01,1.379050e+01,9.466950e-04,5.248531e-03,1.297451e-02
0.073000,1.884453e-03,8.537216e-03,1.562500e+01,1.396655e+01,3.927051e-04,6.891435e-08,1.320811e-02
0.074000,5.361283e-04,5.672279e-03,1.562500e+01,1.421002e+01,2.094634e-04,8.058929e-04,2.057952e-02
0.075000,9.767169e-04,1.334004e-02,1.562500e+01,1.438105e+01,2.827211e-04,8.898115e-05,1.801302e-02
0.076000,1.765185e-05,1.050750e-02,1.562500e+01,1.454967e+01,3.800747e-05,6.935027e-04,2.555384e-02
0.077000,1.499625e-03,8.427339e-03,1.562500e+01,1.478343e+01,3.503202e-04,1.944642e-05,2.677962e-02
0.078000,2.456921e-03,1.085030e-02,1.562500e+01,1.494732e+01,4.484040e-04,1.206947e-03,1.710159e-02
0.079000,6.815423e-03,1.360361e-02,1.562500e+01,1.517487e+01,7.468274e-04,1.443693e-03,8.964159e-03
0.080000,1.349520e-03,1.092548e-02,1.562500e+01,1.533444e+01,3.323254e-04,1.514122e-04,7.137340e-03
0.081000,1.526571e-03,1.180905e-02,1.562500e+01,1.555615e+01,3.534536e-04,5.463839e-05,8.244822e-03
0.082000,3.132309e-04,1.104523e-02,1.562500e+01,1.571157e+01,1.601055e-04,1.511168e-03,1.524295e-02
0.083000,4.266573e-03,5.623872e-03,1.562500e+01,1.592784e+01,5.908992e-04,4.187095e-04,1.100459e-02
0.084000,5.561774e-03,1.292940e-02,1.562500e+01,1.607912e+01,6.746531e-04,2.897757e-03,3.744884e-03
0.085000,2.294640e-03,5.195000e-03,1.562500e+01,1.629034e+01,4.333423e-04,7.806272e-04,1.465318e-03
0.086000,1.565942e-03,1.307908e-02,1.562500e+01,1.643831e+01,3.579824e-04,3.386544e-03,7.431710e-03
0.087000,1.920024e-04,5.840735e-03,1.562500e+01,1.664453e+01,1.253508e-04,1.423452e-05,8.051261e-03
0.088000,6.090374e-03,1.309979e-02,1.562500e+01,1.684827e+01,7.059856e-04,3.300328e-03,2.164515e-03
0.089000,4.147076e-04,5.768262e-03,1.562500e+01,1.699134e+01,1.842234e-04,4.815273e-04,4.179155e-03
0.090000,1.722810e-03,1.218347e-02,1.562500e+01,1.719060e+01,3.754849e-04,1.483077e-04,3.241539e-03
0.091000,1.341514e-03,9.084906e-03,1.562500e+01,1.733067e+01,3.313381e-04,2.663529e-04,1.998948e-03
0.092000,1.875316e-02,1.423292e-02,1.562500e+01,1.752602e+01,1.238828e-03,8.931571e-03,6.958193e-04
0.093000,1.192487e-02,6.789197e-03,1.562500e+01,1.760751e+01,9.878720e-04,6.319398e-03,6.228238e-03
0.094000,8.018438e-04,1.294773e-02,1.562500e+01,1.779959e+01,2.561644e-04,4.114373e-05,6.098514e-03
0.095000,5.617849e-04,7.473939e-03,1.562500e+01,1.782403e+01,2.144168e-04,1.065595e-03,3.155423e-03
0.096000,6.675920e-04,5.595896e-03,1.562500e+01,1.801381e+01,2.337380e-04,8.060616e-06,2.913985e-03
0.097000,8.313430e-03,8.607589e-03,1.562500e+01,1.814753e+01,8.248291e-04,1.904512e-03,6.743088e-03
0.098000,2.667996e-02,6.599252e-03,1.562500e+01,1.833395e+01,1.477632e-03,1.679021e-02,2.732536e-02
0.099000,2.079967e-04,1.397821e-02,1.562500e+01,1.851821e+01,1.304674e-04,5.492069e-03,1.405654e-02
0.100000,8.567443e-04,1.047067e-02,1.562500e+01,1.875318e+01,2.647887e-04,1.618634e-03,8.688811e-03
0.101000,1.676337e-02,1.500820e-02,1.562500e+01,1.888116e+01,1.171263e-03,8.062510e-03,2.186877e-02
0.102000,7.767197e-03,7.572979e-03,1.562500e+01,1.906003e+01,7.972710e-04,2.651590e-04,2.405216e-02
0.103000,3.230860e-03,1.581246e-02,1.562500e+01,1.923689e+01,5.142010e-04,1.049790e-05,2.276814e-02
0.104000,1.421001e-03,9.451320e-03,1.562500e+01,1.941221e+01,3.410131e-04,8.818106e-04,1.790484e-02
