t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.175311e-02,2.656250e+02,4.123106e-03,3.084015e-01,2.976885e-03,3.022917e-03
0.001000,6.428961e-07,1.993892e-01,4.375000e+02,7.548921e-03,4.532167e-03,2.475984e-03,1.021829e-03
0.002000,1.049512e-05,7.868328e-02,5.625000e+02,1.072095e-02,1.831172e-02,1.198245e-03,9.503804e-04
0.003000,4.492397e-03,7.477897e-02,4.375000e+02,1.451983e-02,3.788563e-01,3.169436e-03,1.221255e-03
0.004000,2.323045e-04,7.452905e-02,0.000000e+00,1.451547e-02,8.615180e-02,2.736926e-03,1.561279e-03
0.005000,3.232316e-03,7.476427e-02,0.000000e+00,1.451112e-02,3.213604e-01,9.251451e-04,8.074620e-04
0.006000,2.841414e-03,7.324574e-02,0.000000e+00,1.450677e-02,3.013025e-01,4.701103e-04,1.605766e-03
0.007000,1.673244e-04,7.445752e-02,0.000000e+00,1.450241e-02,7.311646e-02,2.284252e-03,2.452793e-03
0.008000,1.193553e-04,7.318957e-02,0.000000e+00,1.449806e-02,6.175277e-02,3.092808e-04,5.622203e-03
0.009000,8.828725e-04,7.459841e-02,0.000000e+00,1.449371e-02,1.679517e-01,3.141431e-03,2.752339e-02
0.010000,5.550325e-04,7.632659e-02,0.000000e+00,1.448937e-02,1.331664e-01,1.285069e-05,2.424777e-02
0.011000,5.900700e-05,7.758734e-02,0.000000e+00,1.448502e-02,4.341975e-02,1.563321e-04,3.195031e-02
0.012000,1.330602e-03,7.774087e-02,0.000000e+00,1.448067e-02,2.061862e-01,3.052734e-03,8.993742e-02
0.013000,9.165323e-03,7.647246e-02,0.000000e+00,1.447633e-02,5.411397e-01,1.188579e-02,3.111180e-01
0.014000,1.902563e-03,7.608588e-02,0.000000e+00,1.447199e-02,2.465500e-01,1.661813e-03,2.093203e-01
0.015000,1.340517e-03,7.615902e-02,0.000000e+00,1.446765e-02,2.069530e-01,9.383290e-04,1.428650e-01
0.016000,1.641524e-04,7.683492e-02,0.000000e+00,1.446330e-02,7.242011e-02,4.431747e-04,1.878158e-01
0.017000,3.885732e-03,7.744143e-02,0.000000e+00,1.445897e-02,3.523481e-01,4.671396e-03,3.875277e-01
0.018000,1.550403e-03,7.689010e-02,0.000000e+00,1.445463e-02,2.225655e-01,1.522499e-03,5.404583e-01
0.019000,2.653159e-03,7.702727e-02,0.000000e+00,1.445029e-02,2.911502e-01,2.224175e-03,7.617115e-01
0.020000,2.667816e-03,7.571570e-02,0.000000e+00,1.444596e-02,2.919533e-01,3.694914e-03,4.819628e-01
0.021000,1.055452e-03,7.497702e-02,0.000000e+00,1.444162e-02,1.836347e-01,1.391425e-03,3.399628e-01
0.022000,3.588497e-03,7.442393e-02,0.000000e+00,1.443729e-02,3.386038e-01,3.872553e-03,1.559252e-01
0.023000,1.095825e-03,7.505530e-02,0.000000e+00,1.443296e-02,1.871140e-01,9.425393e-04,8.988947e-02
0.024000,2.943927e-04,7.451462e-02,0.000000e+00,1.442863e-02,9.698377e-02,4.745716e-04,1.349793e-01
0.025000,4.100405e-03,7.584877e-02,0.000000e+00,1.442430e-02,3.619503e-01,3.791097e-03,3.126992e-02
0.026000,7.131067e-04,7.618046e-02,0.000000e+00,1.441997e-02,1.509429e-01,3.745768e-04,1.376080e-02
0.027000,9.640695e-03,7.487094e-02,0.000000e+00,1.441565e-02,5.549958e-01,1.145045e-02,1.957823e-01
0.028000,4.346394e-03,7.566124e-02,0.000000e+00,1.441132e-02,3.726491e-01,4.403333e-03,5.892259e-02
0.029000,1.555782e-08,7.524987e-02,0.000000e+00,1.440700e-02,7.050337e-04,2.162546e-05,6.607769e-02
0.030000,5.776353e-04,7.616108e-02,0.000000e+00,1.440268e-02,1.358509e-01,3.961082e-04,3.894513e-02
0.031000,1.194382e-05,7.555138e-02,0.000000e+00,1.439836e-02,1.953472e-02,4.415130e-06,4.189708e-02
0.032000,1.401282e-03,7.619445e-02,0.000000e+00,1.439404e-02,2.115916e-01,1.815560e-03,1.047439e-01
0.033000,3.096765e-03,7.486295e-02,0.000000e+00,1.438972e-02,3.145499e-01,3.252051e-03,2.341185e-01
0.034000,8.755619e-03,7.451675e-02,0.000000e+00,1.438540e-02,5.289065e-01,8.071115e-03,5.301321e-01
0.035000,4.074125e-04,7.350864e-02,0.000000e+00,1.438109e-02,1.140913e-01,1.017444e-03,4.162276e-01
0.036000,7.547553e-03,7.262488e-02,0.000000e+00,1.437677e-02,4.910646e-01,5.940991e-03,7.175263e-01
0.037000,2.286596e-04,7.342826e-02,0.000000e+00,1.437246e-02,8.547325e-02,2.816864e-06,7.078995e-01
0.038000,7.627077e-03,7.431792e-02,0.000000e+00,1.436815e-02,4.936448e-01,1.099199e-02,3.355250e-01
0.039000,1.392389e-03,7.417053e-02,0.000000e+00,1.436384e-02,2.109190e-01,2.222208e-03,2.161750e-01
0.040000,8.693638e-04,7.501835e-02,0.000000e+00,1.435953e-02,1.666619e-01,5.236114e-04,2.677155e-01
0.041000,3.403243e-03,7.586521e-02,0.000000e+00,1.435522e-02,3.297479e-01,2.443673e-03,3.966045e-01
0.042000,4.607259e-04,7.592400e-02,0.000000e+00,1.435091e-02,1.213268e-01,6.577209e-05,4.197782e-01
0.043000,2.131529e-04,7.614260e-02,0.000000e+00,1.434661e-02,8.252416e-02,9.236597e-10,4.191027e-01
0.044000,5.222563e-04,7.599319e-02,0.000000e+00,1.434230e-02,1.291747e-01,1.454312e-03,3.202869e-01
0.045000,2.699571e-03,7.518928e-02,0.000000e+00,1.433800e-02,2.936858e-01,1.518956e-03,4.207534e-01
0.046000,5.135287e-03,7.583019e-02,0.000000e+00,1.433370e-02,4.050586e-01,7.780869e-03,2.192825e-01
0.047000,2.254487e-03,7.492631e-02,0.000000e+00,1.432940e-02,2.683857e-01,1.368117e-03,2.951380e-01
0.048000,2.329412e-03,7.513902e-02,0.000000e+00,1.432510e-02,2.728090e-01,3.846493e-03,1.790377e-01
0.049000,6.556043e-04,7.484038e-02,0.000000e+00,1.432080e-02,1.447293e-01,1.244601e-03,1.277102e-01
0.050000,4.760372e-04,7.413820e-02,0.000000e+00,1.431651e-02,1.233264e-01,8.592022e-04,9.321097e-02
0.051000,3.616053e-03,7.417920e-02,0.000000e+00,1.431221e-02,3.399013e-01,2.962023e-03,1.615744e-01
0.052000,4.223016e-02,7.393064e-02,0.000000e+00,1.430792e-02,1.161574e+00,4.642627e-02,8.061910e-04
0.053000,6.145944e-03,7.434249e-02,0.000000e+00,1.430363e-02,4.431286e-01,6.973900e-03,2.842555e-02
0.054000,2.100649e-03,7.439523e-02,0.000000e+00,1.429933e-02,2.590671e-01,2.180589e-03,8.373954e-03
0.055000,8.797731e-04,7.378071e-02,0.000000e+00,1.429505e-02,1.676567e-01,7.510403e-04,2.394775e-03
0.056000,2.479149e-03,7.369018e-02,0.000000e+00,1.429076e-02,2.814406e-01,2.090062e-03,5.568838e-04
0.057000,1.922558e-03,7.382853e-02,0.000000e+00,1.428647e-02,2.478422e-01,1.344103e-03,6.358764e-03
0.058000,3.572311e-04,7.213967e-02,0.000000e+00,1.428218e-02,1.068342e-01,8.433199e-05,8.183037e-03
0.059000,1.186440e-04,7.094878e-02,0.000000e+00,1.427790e-02,6.156847e-02,4.540563e-04,3.293032e-03
0.060000,8.034383e-03,7.126318e-02,0.000000e+00,1.427362e-02,5.066543e-01,6.490415e-03,2.976775e-02
0.061000,7.462750e-05,7.227692e-02,0.000000e+00,1.426933e-02,4.882980e-02,5.353922e-04,2.027328e-02
0.062000,8.857067e-04,7.260921e-02,0.000000e+00,1.426505e-02,1.682211e-01,1.840803e-03,7.239964e-03
0.063000,6.938989e-08,7.233408e-02,0.000000e+00,1.426077e-02,1.488962e-03,1.042919e-04,5.056458e-03
0.064000,3.206578e-03,7.219091e-02,0.000000e+00,1.425649e-02,3.200785e-01,4.425212e-03,2.247713e-04
0.065000,7.084936e-03,7.382035e-02,0.000000e+00,1.425222e-02,4.757770e-01,8.074772e-03,1.564414e-02
0.066000,2.148614e-05,7.371599e-02,0.000000e+00,1.424794e-02,2.620081e-02,2.097403e-05,1.720708e-02
0.067000,6.537348e-04,7.306975e-02,0.000000e+00,1.424367e-02,1.445228e-01,6.782328e-04,1.025092e-02
0.068000,6.210963e-03,7.255990e-02,0.000000e+00,1.423939e-02,4.454664e-01,6.372941e-03,3.825770e-02
0.069000,3.648078e-03,7.241813e-02,0.000000e+00,1.423512e-02,3.414032e-01,3.176303e-03,6.782333e-02
0.070000,7.632917e-04,7.266619e-02,0.000000e+00,1.423085e-02,1.561640e-01,1.248684e-03,4.845430e-02
0.071000,3.374505e-04,7.326054e-02,0.000000e+00,1.422658e-02,1.038342e-01,5.848258e-04,3.690235e-02
0.072000,4.607078e-03,7.358347e-02,0.000000e+00,1.422232e-02,3.836615e-01,5.248531e-03,1.297451e-02
0.073000,4.584939e-07,7.336621e-02,0.000000e+00,1.421805e-02,3.827386e-03,6.891435e-08,1.320811e-02
0.074000,8.373528e-04,7.351428e-02,0.000000e+00,1.421378e-02,1.635648e-01,8.058929e-04,2.057952e-02
0.075000,5.021822e-05,7.349923e-02,0.000000e+00,1.420952e-02,4.005587e-02,8.898115e-05,1.801302e-02
0.076000,7.994964e-04,7.352071e-02,0.000000e+00,1.420526e-02,1.598246e-01,6.935027e-04,2.555384e-02
0.077000,6.436609e-05,7.380369e-02,0.000000e+00,1.420099e-02,4.534862e-02,1.944642e-05,2.677962e-02
0.078000,9.430294e-04,7.396490e-02,0.000000e+00,1.419673e-02,1.735794e-01,1.206947e-03,1.710159e-02
0.079000,1.280785e-03,7.484383e-02,0.000000e+00,1.419248e-02,2.022896e-01,1.443693e-03,8.964159e-03
0.080000,1.470200e-04,7.452407e-02,0.000000e+00,1.418822e-02,6.853678e-02,1.514122e-04,7.137340e-03
0.081000,4.867117e-05,7.425240e-02,0.000000e+00,1.418396e-02,3.943405e-02,5.463839e-05,8.244822e-03
0.082000,1.518111e-03,7.460060e-02,0.000000e+00,1.417971e-02,2.202355e-01,1.511168e-03,1.524295e-02
0.083000,3.279661e-04,7.524544e-02,0.000000e+00,1.417545e-02,1.023647e-01,4.187095e-04,1.100459e-02
0.084000,2.754282e-03,7.353507e-02,1.562500e+01,1.434310e-02,2.966468e-01,2.897757e-03,3.744884e-03
0.085000,5.974083e-04,7.329386e-02,0.000000e+00,1.433880e-02,1.381564e-01,7.806272e-04,1.465318e-03
0.086000,3.627809e-03,7.266040e-02,0.000000e+00,1.433449e-02,3.404534e-01,3.386544e-03,7.431710e-03
0.087000,8.120102e-05,7.251829e-02,0.000000e+00,1.433019e-02,5.093499e-02,1.423452e-05,8.051261e-03
0.088000,2.695368e-03,7.179715e-02,0.000000e+00,1.432590e-02,2.934570e-01,3.300328e-03,2.164515e-03
0.089000,5.997678e-04,7.087376e-02,0.000000e+00,1.432160e-02,1.384290e-01,4.815273e-04,4.179155e-03
0.090000,7.081749e-05,7.040886e-02,0.000000e+00,1.431730e-02,4.756700e-02,1.483077e-04,3.241539e-03
0.091000,1.725808e-04,7.095877e-02,0.000000e+00,1.431301e-02,7.425604e-02,2.663529e-04,1.998948e-03
0.092000,8.487255e-03,6.968720e-02,0.000000e+00,1.430871e-02,5.207378e-01,8.931571e-03,6.958193e-04
0.093000,6.725822e-03,6.868241e-02,0.000000e+00,1.430442e-02,4.635624e-01,6.319398e-03,6.228238e-03
0.094000,6.684040e-08,7.054843e-02,0.000000e+00,1.430013e-02,1.461353e-03,4.114373e-05,6.098514e-03
0.095000,6.875206e-04,7.065217e-02,0.000000e+00,1.429584e-02,1.482103e-01,1.065595e-03,3.155423e-03
0.096000,3.934056e-06,7.030859e-02,0.000000e+00,1.429155e-02,1.121129e-02,8.060616e-06,2.913985e-03
0.097000,2.339917e-03,7.010688e-02,0.000000e+00,1.428726e-02,2.734234e-01,1.904512e-03,6.743088e-03
0.098000,1.865381e-02,6.943198e-02,0.000000e+00,1.428298e-02,7.720035e-01,1.679021e-02,2.732536e-02
0.099000,3.657447e-03,6.984852e-02,0.000000e+00,1.427869e-02,3.418413e-01,5.492069e-03,1.405654e-02
0.100000,9.095831e-04,6.905469e-02,1.562500e+01,1.451317e-02,1.704734e-01,1.618634e-03,8.688811e-03
0.101000,8.644406e-03,6.841456e-02,0.000000e+00,1.450881e-02,5.255367e-01,8.062510e-03,2.186877e-02
0.102000,5.773799e-04,6.692395e-02,0.000000e+00,1.450446e-02,1.358208e-01,2.651590e-04,2.405216e-02
0.103000,2.982831e-05,6.571301e-02,0.000000e+00,1.450011e-02,3.087094e-02,1.049790e-05,2.276814e-02
0.104000,4.406899e-04,6.594200e-02,0.000000e+00,1.449576e-02,1.186594e-01,8.818106e-04,1.790484e-02
0.105000,1.500886e-05,6.730304e-02,0.000000e+00,1.449141e-02,2.189825e-02,1.272477e-04,1.689029e-02
0.106000,8.448298e-04,6.719902e-02,0.000000e+00,1.448706e-02,1.642934e-01,4.870279e-04,2.036161e-02
0.107000,8.952543e-04,6.666120e-02,0.000000e+00,1.448272e-02,1.691254e-01,4.716766e-04,2.376126e-02
0.108000,9.266873e-06,6.476361e-02,0.000000e+00,1.447837e-02,1.720688e-02,1.548294e-04,2.059064e-02
0.109000,4.659446e-03,6.465032e-02,0.000000e+00,1.447403e-02,3.858359e-01,5.962969e-03,1.011483e-02
0.110000,3.984644e-03,6.418324e-02,0.000000e+00,1.446969e-02,3.568044e-01,4.697841e-03,3.906921e-03
0.111000,4.832270e-04,6.491983e-02,0.000000e+00,1.446535e-02,1.242542e-01,3.889395e-04,5.559277e-03
0.112000,1.357465e-03,6.431983e-02,0.000000e+00,1.446101e-02,2.082571e-01,1.127262e-03,8.322307e-03
0.113000,1.313715e-03,6.379638e-02,0.000000e+00,1.445667e-02,2.048737e-01,1.696067e-03,4.735305e-03
0.114000,1.292406e-03,6.241581e-02,0.000000e+00,1.445233e-02,2.032053e-01,1.078982e-03,6.931230e-03
0.115000,3.778857e-03,6.227099e-02,0.000000e+00,1.444800e-02,3.474687e-01,4.381445e-03,2.451386e-03
0.116000,3.272462e-05,6.193942e-02,1.562500e+01,1.474636e-02,3.233500e-02,1.593075e-05,2.693799e-03
0.117000,2.914708e-03,6.216412e-02,0.000000e+00,1.474193e-02,3.051638e-01,3.249766e-03,6.507336e-03
0.118000,3.984240e-04,6.321148e-02,0.000000e+00,1.473751e-02,1.128258e-01,3.859508e-04,5.353528e-03
0.119000,5.421129e-04,6.313891e-02,0.000000e+00,1.473309e-02,1.316074e-01,4.909550e-04,3.898341e-03
0.120000,4.739223e-03,6.229214e-02,0.000000e+00,1.472867e-02,3.891249e-01,4.460097e-03,8.508251e-04
0.121000,6.991207e-04,6.292753e-02,0.000000e+00,1.472425e-02,1.494554e-01,9.909052e-04,2.042636e-03
0.122000,9.041605e-04,6.318381e-02,0.000000e+00,1.471983e-02,1.699645e-01,7.026839e-04,1.124214e-03
0.123000,7.468942e-03,6.252408e-02,0.000000e+00,1.471542e-02,4.885005e-01,8.304669e-03,5.481227e-03
0.124000,4.925927e-03,6.375962e-02,0.000000e+00,1.471100e-02,3.967158e-01,4.850328e-03,2.028559e-03
0.125000,3.183470e-03,6.347432e-02,0.000000e+00,1.470659e-02,3.189230e-01,2.791007e-03,4.455038e-04
0.126000,4.568690e-03,6.240220e-02,0.000000e+00,1.470218e-02,3.820598e-01,3.804784e-03,8.366819e-05
0.127000,1.124211e-04,6.039922e-02,0.000000e+00,1.469777e-02,5.993210e-02,3.701882e-04,2.113204e-05
0.128000,1.657546e-04,6.073754e-02,0.000000e+00,1.469336e-02,7.277267e-02,2.600884e-05,3.368413e-05
0.129000,3.604614e-04,6.059936e-02,0.000000e+00,1.468895e-02,1.073161e-01,1.209463e-04,1.169715e-04
0.130000,4.410296e-03,6.026851e-02,0.000000e+00,1.468454e-02,3.753785e-01,3.357687e-03,1.260370e-03
0.131000,9.854749e-03,5.995024e-02,0.000000e+00,1.468014e-02,5.611233e-01,1.216336e-02,1.201631e-04
0.132000,9.335910e-04,6.055951e-02,0.000000e+00,1.467573e-02,1.727086e-01,5.940764e-04,1.944452e-05
0.133000,4.705037e-04,6.036524e-02,1.562500e+01,1.503441e-02,1.226075e-01,2.093346e-04,2.334266e-05
0.134000,4.859749e-03,6.013453e-02,0.000000e+00,1.502990e-02,3.940419e-01,3.235104e-03,7.353514e-04
0.135000,2.726542e-03,5.895797e-02,0.000000e+00,1.502539e-02,2.951492e-01,1.362789e-03,1.945537e-03
0.136000,5.703619e-05,5.825133e-02,0.000000e+00,1.502088e-02,4.268849e-02,8.764797e-05,1.728232e-03
0.137000,1.913681e-04,5.789778e-02,0.000000e+00,1.501638e-02,7.819343e-02,7.284399e-06,1.700952e-03
0.138000,4.064646e-03,5.760808e-02,0.000000e+00,1.501187e-02,3.603685e-01,6.430569e-03,1.290447e-04
0.139000,1.965131e-03,5.665862e-02,0.000000e+00,1.500737e-02,2.505713e-01,3.286791e-03,8.340678e-05
0.140000,9.817438e-04,5.750278e-02,0.000000e+00,1.500287e-02,1.771065e-01,4.328984e-04,4.015061e-05
0.141000,9.422398e-04,5.698782e-02,0.000000e+00,1.499837e-02,1.735067e-01,1.770802e-03,3.583295e-04
0.142000,1.554710e-03,5.585935e-02,0.000000e+00,1.499387e-02,2.228744e-01,8.920776e-04,1.031692e-04
0.143000,7.506022e-04,5.617141e-02,0.000000e+00,1.498937e-02,1.548604e-01,2.756658e-04,1.094627e-04
0.144000,8.125160e-03,5.479251e-02,0.000000e+00,1.498487e-02,5.095085e-01,6.188978e-03,1.141940e-03
