t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.338202e-02,2.656250e+02,4.123106e-03,3.313569e-01,2.976885e-03,3.022917e-03
0.001000,2.299603e-06,2.269105e-01,4.375000e+02,7.548921e-03,9.209615e-03,2.475984e-03,1.021829e-03
0.002000,6.762564e-05,8.961099e-02,5.625000e+02,1.072095e-02,4.994255e-02,1.198245e-03,9.503804e-04
0.003000,3.929294e-03,8.509110e-02,4.375000e+02,1.451983e-02,3.806907e-01,3.169436e-03,1.221255e-03
0.004000,1.508004e-04,8.481574e-02,0.000000e+00,1.451547e-02,7.457895e-02,2.736926e-03,1.561279e-03
0.005000,3.577718e-03,8.506639e-02,0.000000e+00,1.451112e-02,3.632604e-01,9.251451e-04,8.074620e-04
0.006000,3.165705e-03,8.343262e-02,0.000000e+00,1.450677e-02,3.417042e-01,4.701103e-04,1.605766e-03
0.007000,9.953253e-05,8.472014e-02,0.000000e+00,1.450241e-02,6.058953e-02,2.284252e-03,2.452793e-03
0.008000,1.927347e-04,8.336647e-02,0.000000e+00,1.449806e-02,8.431310e-02,3.092808e-04,5.622203e-03
0.009000,7.158916e-04,8.486647e-02,0.000000e+00,1.449371e-02,1.624945e-01,3.141431e-03,2.752339e-02
0.010000,7.030590e-04,8.671915e-02,0.000000e+00,1.448937e-02,1.610315e-01,1.285069e-05,2.424777e-02
0.011000,1.131425e-04,8.806655e-02,0.000000e+00,1.448502e-02,6.459932e-02,1.563321e-04,3.195031e-02
0.012000,1.123795e-03,8.822982e-02,0.000000e+00,1.448067e-02,2.035910e-01,3.052734e-03,8.993742e-02
0.013000,8.608541e-03,8.686698e-02,0.000000e+00,1.447633e-02,5.634817e-01,1.188579e-02,3.111180e-01
0.014000,2.168855e-03,8.644361e-02,0.000000e+00,1.447199e-02,2.828331e-01,1.661813e-03,2.093203e-01
0.015000,1.565372e-03,8.652666e-02,0.000000e+00,1.446765e-02,2.402834e-01,9.383290e-04,1.428650e-01
0.016000,9.724688e-05,8.724999e-02,0.000000e+00,1.446330e-02,5.988980e-02,4.431747e-04,1.878158e-01
0.017000,3.526662e-03,8.789603e-02,0.000000e+00,1.445897e-02,3.606592e-01,4.671396e-03,3.875277e-01
0.018000,1.326862e-03,8.731411e-02,0.000000e+00,1.445463e-02,2.212218e-01,1.522499e-03,5.404583e-01
0.019000,2.358138e-03,8.745134e-02,0.000000e+00,1.445029e-02,2.949169e-01,2.224175e-03,7.617115e-01
0.020000,2.980962e-03,8.605901e-02,0.000000e+00,1.444596e-02,3.315837e-01,3.694914e-03,4.819628e-01
0.021000,1.255576e-03,8.526745e-02,0.000000e+00,1.444162e-02,2.151972e-01,1.391425e-03,3.399628e-01
0.022000,3.950069e-03,8.468179e-02,0.000000e+00,1.443729e-02,3.816958e-01,3.872553e-03,1.559252e-01
0.023000,1.299450e-03,8.534906e-02,0.000000e+00,1.443296e-02,2.189247e-01,9.425393e-04,8.988947e-02
0.024000,2.020416e-04,8.477093e-02,0.000000e+00,1.442863e-02,8.632478e-02,4.745716e-04,1.349793e-01
0.025000,4.485954e-03,8.618924e-02,0.000000e+00,1.442430e-02,4.067639e-01,3.791097e-03,3.126992e-02
0.026000,8.788872e-04,8.653675e-02,0.000000e+00,1.441997e-02,1.800452e-01,3.745768e-04,1.376080e-02
0.027000,9.071791e-03,8.513345e-02,0.000000e+00,1.441565e-02,5.784443e-01,1.145045e-02,1.957823e-01
0.028000,4.742718e-03,8.598262e-02,0.000000e+00,1.441132e-02,4.182430e-01,4.403333e-03,5.892259e-02
0.029000,9.388456e-06,8.553242e-02,0.000000e+00,1.440700e-02,1.860853e-02,2.162546e-05,6.607769e-02
0.030000,7.275152e-04,8.649981e-02,0.000000e+00,1.440268e-02,1.638084e-01,3.961082e-04,3.894513e-02
0.031000,4.087746e-05,8.586812e-02,0.000000e+00,1.439836e-02,3.882907e-02,4.415130e-06,4.189708e-02
0.032000,1.190045e-03,8.655304e-02,0.000000e+00,1.439404e-02,2.095061e-01,1.815560e-03,1.047439e-01
0.033000,2.778637e-03,8.513179e-02,0.000000e+00,1.438972e-02,3.201334e-01,3.252051e-03,2.341185e-01
0.034000,8.214983e-03,8.475236e-02,0.000000e+00,1.438540e-02,5.504506e-01,8.071115e-03,5.301321e-01
0.035000,5.344652e-04,8.367656e-02,0.000000e+00,1.438109e-02,1.404025e-01,1.017444e-03,4.162276e-01
0.036000,7.046510e-03,8.272332e-02,0.000000e+00,1.437677e-02,5.098026e-01,5.940991e-03,7.175263e-01
0.037000,1.485769e-04,8.358332e-02,0.000000e+00,1.437246e-02,7.402709e-02,2.816864e-06,7.078995e-01
0.038000,8.147687e-03,8.452985e-02,0.000000e+00,1.436815e-02,5.481914e-01,1.099199e-02,3.355250e-01
0.039000,1.619680e-03,8.436015e-02,0.000000e+00,1.436384e-02,2.444160e-01,2.222208e-03,2.161750e-01
0.040000,7.051857e-04,8.525525e-02,0.000000e+00,1.435953e-02,1.612749e-01,5.236114e-04,2.677155e-01
0.041000,3.070109e-03,8.613897e-02,0.000000e+00,1.435522e-02,3.365053e-01,2.443673e-03,3.966045e-01
0.042000,3.436071e-04,8.620268e-02,0.000000e+00,1.435091e-02,1.125761e-01,6.577209e-05,4.197782e-01
0.043000,1.362531e-04,8.643246e-02,0.000000e+00,1.434661e-02,7.089052e-02,9.236597e-10,4.191027e-01
0.044000,6.645597e-04,8.626332e-02,0.000000e+00,1.434230e-02,1.565604e-01,1.454312e-03,3.202869e-01
0.045000,2.404152e-03,8.541027e-02,0.000000e+00,1.433800e-02,2.977803e-01,1.518956e-03,4.207534e-01
0.046000,5.562965e-03,8.609056e-02,0.000000e+00,1.433370e-02,4.529687e-01,7.780869e-03,2.192825e-01
0.047000,1.985410e-03,8.513890e-02,0.000000e+00,1.432940e-02,2.706077e-01,1.368117e-03,2.951380e-01
0.048000,2.620068e-03,8.535449e-02,0.000000e+00,1.432510e-02,3.108646e-01,3.846493e-03,1.790377e-01
0.049000,8.137620e-04,8.503406e-02,0.000000e+00,1.432080e-02,1.732462e-01,1.244601e-03,1.277102e-01
0.050000,6.120252e-04,8.430026e-02,0.000000e+00,1.431651e-02,1.502449e-01,8.592022e-04,9.321097e-02
0.051000,3.273400e-03,8.433031e-02,0.000000e+00,1.431221e-02,3.474678e-01,2.962023e-03,1.615744e-01
0.052000,4.343843e-02,8.406499e-02,0.000000e+00,1.430792e-02,1.265762e+00,4.642627e-02,8.061910e-04
0.053000,5.696903e-03,8.449752e-02,0.000000e+00,1.430363e-02,4.583893e-01,6.973900e-03,2.842555e-02
0.054000,2.376582e-03,8.455401e-02,0.000000e+00,1.429933e-02,2.960680e-01,2.180589e-03,8.373954e-03
0.055000,1.061291e-03,8.390388e-02,0.000000e+00,1.429505e-02,1.978482e-01,7.510403e-04,2.394775e-03
0.056000,2.777992e-03,8.379494e-02,0.000000e+00,1.429076e-02,3.200962e-01,2.090062e-03,5.568838e-04
0.057000,2.186659e-03,8.393826e-02,0.000000e+00,1.428647e-02,2.839916e-01,1.344103e-03,6.358764e-03
0.058000,4.758689e-04,8.212596e-02,0.000000e+00,1.428218e-02,1.324826e-01,8.433199e-05,8.183037e-03
0.059000,6.367071e-05,8.084723e-02,0.000000e+00,1.427790e-02,4.846016e-02,4.540563e-04,3.293032e-03
0.060000,8.564916e-03,8.116944e-02,0.000000e+00,1.427362e-02,5.620521e-01,6.490415e-03,2.976775e-02
