t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.948331e-03,2.812500e+02,4.242641e-03,1.336791e-01,2.976885e-03,3.022917e-03
0.001000,1.328284e-05,2.061274e-02,4.375000e+02,7.614828e-03,8.929518e-03,2.475984e-03,1.021829e-03
0.002000,3.330827e-04,1.122202e-02,5.156250e+02,1.072084e-02,4.471555e-02,1.198245e-03,9.503804e-04
0.003000,1.341895e-03,8.401499e-03,3.906250e+02,1.392236e-02,8.975152e-02,3.169436e-03,1.221255e-03
0.004000,2.571794e-03,6.370558e-03,1.718750e+02,1.531958e-02,1.242512e-01,2.736926e-03,1.561279e-03
0.005000,4.195319e-04,3.703138e-03,6.250000e+01,1.570168e-02,5.018397e-02,9.251451e-04,8.074620e-04
0.006000,2.916177e-03,3.369943e-03,0.000000e+00,1.569696e-02,1.323090e-01,4.701103e-04,1.605766e-03
0.007000,1.497903e-04,3.640115e-03,0.000000e+00,1.569226e-02,2.998640e-02,2.284252e-03,2.452793e-03
0.008000,1.350543e-04,3.372761e-03,0.000000e+00,1.568755e-02,2.847323e-02,3.092808e-04,5.622203e-03
0.009000,8.419909e-04,3.688131e-03,0.000000e+00,1.568284e-02,7.109453e-02,3.141431e-03,2.752339e-02
0.010000,5.883055e-04,4.101021e-03,0.000000e+00,1.567814e-02,5.942702e-02,1.285069e-05,2.424777e-02
0.011000,7.017874e-05,4.416394e-03,0.000000e+00,1.567343e-02,2.052510e-02,1.563321e-04,3.195031e-02
0.012000,1.280348e-03,4.466993e-03,0.000000e+00,1.566873e-02,8.766908e-02,3.052734e-03,8.993742e-02
0.013000,9.032685e-03,4.162206e-03,0.000000e+00,1.566403e-02,2.328579e-01,1.188579e-02,3.111180e-01
0.014000,1.963680e-03,4.070716e-03,0.000000e+00,1.565933e-02,1.085720e-01,1.661813e-03,2.093203e-01
0.015000,1.391881e-03,4.105962e-03,0.000000e+00,1.565463e-02,9.140785e-02,9.383290e-04,1.428650e-01
0.016000,1.468354e-04,4.282427e-03,0.000000e+00,1.564994e-02,2.968916e-02,4.431747e-04,1.878158e-01
0.017000,3.799639e-03,4.440592e-03,0.000000e+00,1.564524e-02,1.510267e-01,4.671396e-03,3.875277e-01
