t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,1.127635e-04,1.562500e+01,1.000000e+00,1.336791e-04,2.976885e-03,3.022917e-03
0.001000,2.837369e-05,1.990160e-04,1.562500e+01,1.413507e+00,1.305090e-05,2.475984e-03,1.021829e-03
0.002000,2.032650e-04,4.665675e-04,1.562500e+01,1.730320e+00,3.493122e-05,1.198245e-03,9.503804e-04
0.003000,4.583304e-03,8.073343e-04,1.562500e+01,1.997003e+00,1.658715e-04,3.169436e-03,1.221255e-03
0.004000,4.813893e-04,3.562270e-04,1.562500e+01,2.231603e+00,5.375647e-05,2.736926e-03,1.561279e-03
0.005000,2.634246e-03,7.905557e-04,1.562500e+01,2.443378e+00,1.257508e-04,9.251451e-04,8.074620e-04
0.006000,1.966384e-03,1.259887e-03,1.562500e+01,2.637833e+00,1.086467e-04,4.701103e-04,1.605766e-03
0.007000,1.015732e-03,1.307118e-03,1.562500e+01,2.818555e+00,7.808582e-05,2.284252e-03,2.452793e-03
0.008000,2.766953e-08,1.408832e-03,1.562500e+01,2.988038e+00,4.075524e-07,3.092808e-04,5.622203e-03
0.009000,2.478326e-03,1.978500e-03,1.562500e+01,3.148098e+00,1.219724e-04,3.141431e-03,2.752339e-02
0.010000,4.873557e-06,9.656593e-04,1.562500e+01,3.300108e+00,5.408857e-06,1.285069e-05,2.424777e-02
0.011000,4.715279e-05,1.318698e-03,1.562500e+01,3.445133e+00,1.682427e-05,1.563321e-04,3.195031e-02
0.012000,3.585929e-03,2.031156e-03,1.562500e+01,3.584022e+00,1.467180e-04,3.052734e-03,8.993742e-02
0.013000,1.614138e-02,3.326697e-03,1.562500e+01,3.717464e+00,3.112811e-04,1.188579e-02,3.111180e-01
0.014000,3.632861e-05,2.457084e-03,1.562500e+01,3.846026e+00,1.476750e-05,1.661813e-03,2.093203e-01
0.015000,5.146397e-05,1.680760e-03,1.562500e+01,3.970182e+00,1.757657e-05,9.383290e-04,1.428650e-01
0.016000,1.084861e-03,9.521021e-04,1.562500e+01,4.090334e+00,8.069928e-05,4.431747e-04,1.878158e-01
0.017000,5.590395e-03,1.315523e-03,1.562500e+01,4.206827e+00,1.831908e-04,4.671396e-03,3.875277e-01
0.018000,2.033375e-03,1.037456e-03,1.562500e+01,4.319955e+00,1.104819e-04,1.522499e-03,5.404583e-01
0.019000,2.459064e-03,1.237342e-03,1.562500e+01,4.429978e+00,1.214975e-04,2.224175e-03,7.617115e-01
0.020000,4.039442e-03,7.916422e-04,1.562500e+01,4.537122e+00,1.557196e-04,3.694914e-03,4.819628e-01
0.021000,1.613690e-03,3.657067e-04,1.562500e+01,4.641587e+00,9.842209e-05,1.391425e-03,3.399628e-01
0.022000,3.972323e-03,2.917455e-04,1.562500e+01,4.743549e+00,1.544204e-04,3.872553e-03,1.559252e-01
0.023000,1.527802e-03,4.685517e-04,1.562500e+01,4.843168e+00,9.576702e-05,9.425393e-04,8.988947e-02
0.024000,1.257716e-04,2.482293e-04,1.562500e+01,4.940586e+00,2.747728e-05,4.745716e-04,1.349793e-01
0.025000,4.756470e-03,3.692784e-05,1.562500e+01,5.226011e+00,1.689759e-04,3.791097e-03,3.126992e-02
0.026000,4.681248e-04,1.456057e-04,1.562500e+01,5.315693e+00,5.301068e-05,3.745768e-04,1.376080e-02
0.027000,1.187951e-02,5.861092e-04,1.562500e+01,5.581107e+00,2.670433e-04,1.145045e-02,1.957823e-01
0.028000,3.127094e-03,1.047811e-03,1.562500e+01,5.833964e+00,1.370102e-04,4.403333e-03,5.892259e-02
0.029000,5.263566e-05,7.135729e-04,1.562500e+01,5.913298e+00,1.777553e-05,2.162546e-05,6.607769e-02
0.030000,5.553715e-04,1.215011e-03,1.562500e+01,6.151739e+00,5.773967e-05,3.961082e-04,3.894513e-02
0.031000,6.046838e-05,8.974538e-04,1.562500e+01,6.380826e+00,1.905227e-05,4.415130e-06,4.189708e-02
0.032000,1.021061e-03,1.260356e-03,1.562500e+01,6.601534e+00,7.829037e-05,1.815560e-03,1.047439e-01
0.033000,2.874283e-03,1.253553e-03,1.562500e+01,6.814677e+00,1.313552e-04,3.252051e-03,2.341185e-01
0.034000,1.030638e-02,1.552468e-03,1.562500e+01,6.880915e+00,2.487343e-04,8.071115e-03,5.301321e-01
0.035000,4.894731e-04,1.203856e-03,1.562500e+01,7.085128e+00,5.420595e-05,1.017444e-03,4.162276e-01
0.036000,8.822538e-03,1.891492e-03,1.562500e+01,7.282960e+00,2.301332e-04,5.940991e-03,7.175263e-01
0.037000,2.056707e-04,2.666006e-03,1.562500e+01,7.475307e+00,3.513733e-05,2.816864e-06,7.078995e-01
0.038000,7.536095e-03,2.044570e-03,1.562500e+01,7.662458e+00,2.126942e-04,1.099199e-02,3.355250e-01
0.039000,1.898746e-03,2.163472e-03,1.562500e+01,7.844785e+00,1.067618e-04,2.222208e-03,2.161750e-01
0.040000,1.030584e-03,2.528809e-03,1.562500e+01,8.022617e+00,7.865460e-05,5.236114e-04,2.677155e-01
0.041000,4.744955e-03,3.286587e-03,1.562500e+01,8.196247e+00,1.687713e-04,2.443673e-03,3.966045e-01
0.042000,1.467625e-03,2.523345e-03,1.562500e+01,8.365938e+00,9.386207e-05,6.577209e-05,4.197782e-01
0.043000,5.435297e-04,2.164794e-03,1.562500e+01,8.531926e+00,5.712078e-05,9.236597e-10,4.191027e-01
0.044000,5.490804e-04,1.757555e-03,1.562500e+01,8.694424e+00,5.741171e-05,1.454312e-03,3.202869e-01
0.045000,1.910285e-03,2.812789e-03,1.562500e+01,8.853623e+00,1.070857e-04,1.518956e-03,4.207534e-01
0.046000,7.500660e-03,2.516414e-03,1.562500e+01,9.009700e+00,2.121936e-04,7.780869e-03,2.192825e-01
0.047000,6.209542e-04,1.897499e-03,1.562500e+01,9.162921e+00,6.105374e-05,1.368117e-03,2.951380e-01
0.048000,4.434652e-03,2.368022e-03,1.562500e+01,9.313114e+00,1.631595e-04,3.846493e-03,1.790377e-01
0.049000,2.905579e-03,1.593422e-03,1.562500e+01,9.460733e+00,1.320684e-04,1.244601e-03,1.277102e-01
0.050000,2.073490e-03,1.751546e-03,1.562500e+01,9.605795e+00,1.115664e-04,8.592022e-04,9.321097e-02
0.051000,1.127303e-03,1.962565e-03,1.562500e+01,9.748415e+00,8.226266e-05,2.962023e-03,1.615744e-01
0.052000,5.382249e-02,1.540855e-03,1.562500e+01,9.888699e+00,5.684135e-04,4.642627e-02,8.061910e-04
0.053000,2.801578e-03,8.670491e-04,1.562500e+01,1.012089e+01,1.296832e-04,6.973900e-03,2.842555e-02
0.054000,3.754974e-03,9.476719e-04,1.562500e+01,1.025536e+01,1.501364e-04,2.180589e-03,8.373954e-03
0.055000,1.548205e-03,1.697221e-03,1.562500e+01,1.047863e+01,9.640438e-05,7.510403e-04,2.394775e-03
0.056000,3.630811e-03,2.469350e-03,1.562500e+01,1.069681e+01,1.476333e-04,2.090062e-03,5.568838e-04
0.057000,3.239737e-03,2.214077e-03,1.562500e+01,1.082302e+01,1.394561e-04,1.344103e-03,6.358764e-03
0.058000,1.510402e-03,3.387640e-03,1.562500e+01,1.103364e+01,9.522014e-05,8.433199e-05,8.183037e-03
0.059000,1.915022e-04,2.700638e-03,1.562500e+01,1.123991e+01,3.390544e-05,4.540563e-04,3.293032e-03
0.060000,1.334133e-02,2.040029e-03,1.562500e+01,1.144223e+01,2.829971e-04,6.490415e-03,2.976775e-02
0.061000,5.216106e-05,2.595820e-03,1.562500e+01,1.164030e+01,1.769521e-05,5.353922e-04,2.027328e-02
0.062000,3.011478e-04,1.880450e-03,1.562500e+01,1.183500e+01,4.251795e-05,1.840803e-03,7.239964e-03
0.063000,1.346087e-05,2.381820e-03,1.562500e+01,1.194697e+01,8.989159e-06,1.042919e-04,5.056458e-03
0.064000,1.878704e-03,3.421279e-03,1.562500e+01,1.213584e+01,1.061969e-04,4.425212e-03,2.247713e-04
0.065000,3.978802e-03,4.169675e-03,1.562500e+01,1.232153e+01,1.545463e-04,8.074772e-03,1.564414e-02
0.066000,2.290983e-04,4.045816e-03,1.562500e+01,1.250409e+01,3.708459e-05,2.097403e-05,1.720708e-02
0.067000,2.714577e-03,5.632896e-03,1.562500e+01,1.253155e+01,1.276538e-04,6.782328e-04,1.025092e-02
0.068000,2.278049e-03,5.507594e-03,1.562500e+01,1.271054e+01,1.169403e-04,6.372941e-03,3.825770e-02
0.069000,1.460842e-03,5.844873e-03,1.562500e+01,1.288669e+01,9.364491e-05,3.176303e-03,6.782333e-02
0.070000,1.751652e-03,4.392714e-03,1.562500e+01,1.291258e+01,1.025431e-04,1.248684e-03,4.845430e-02
0.071000,1.081755e-03,4.832163e-03,1.562500e+01,1.308547e+01,8.058366e-05,5.848258e-04,3.690235e-02
0.072000,5.786930e-03,4.455867e-03,1.562500e+01,1.325577e+01,1.863831e-04,5.248531e-03,1.297451e-02
0.073000,2.441528e-04,4.850413e-03,1.562500e+01,1.342357e+01,3.828365e-05,6.891435e-08,1.320811e-02
0.074000,1.133007e-05,4.568590e-03,1.562500e+01,1.358897e+01,8.247054e-06,8.058929e-04,2.057952e-02
0.075000,1.624381e-03,6.216194e-03,1.562500e+01,1.375206e+01,9.874757e-05,8.898115e-05,1.801302e-02
0.076000,1.348308e-04,4.652290e-03,1.562500e+01,1.391312e+01,2.844966e-05,6.935027e-04,2.555384e-02
0.077000,7.625117e-04,4.878791e-03,1.562500e+01,1.407168e+01,6.765591e-05,1.944642e-05,2.677962e-02
0.078000,5.467365e-03,3.905251e-03,1.562500e+01,1.422844e+01,1.811638e-04,1.206947e-03,1.710159e-02
0.079000,5.539031e-03,5.329929e-03,1.562500e+01,1.438284e+01,1.823473e-04,1.443693e-03,8.964159e-03
0.080000,3.685821e-03,4.151698e-03,1.562500e+01,1.440321e+01,1.487475e-04,1.514122e-04,7.137340e-03
0.081000,1.038766e-03,3.774411e-03,1.562500e+01,1.455548e+01,7.896623e-05,5.463839e-05,8.244822e-03
0.082000,9.418443e-06,3.930917e-03,1.562500e+01,1.470588e+01,7.519207e-06,1.511168e-03,1.524295e-02
0.083000,3.607801e-03,3.409903e-03,1.562500e+01,1.485446e+01,1.471647e-04,4.187095e-04,1.100459e-02
0.084000,8.721713e-03,2.296698e-03,1.562500e+01,1.506243e+01,2.288144e-04,2.897757e-03,3.744884e-03
